RECORDER_ID,SOUND_CLIP,SPECTRA_PLOT,SOUND_SOURCE,DATE_TIME_REC_LOC,DESCRIPTION,STUDY_YEAR,NOTES,CONTRACTOR,REPORT
CL50,cl50_hw_2010_08_07.wav,cl50_hw_2010_08_07.png,HW,8/7/2010 20:07,clip of humpback whale calls,2010,More info in figure_info.xls. Spectrogram snapshot: cl50_hw_2010_08_07.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010
CL50,cl50_kw_2010_09_05.wav,cl50_kw_2010_09_05.png,KW,9/5/2010 6:07,clip of killer whale calls,2009,More info in figure_info.xls. Spectrogram snapshot: cl50_kw_2010_09_05.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010
CL50,cl50_mw_2009_10_31_1918.wav,cl50_mw_2009_10_31.png,MW,10/31/2009 19:18,clip of minke whale 'boing' calls,2009,More info in figure_info.xls. Spectrogram snapshot: cl50_mw_2009_10_31.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010
CL50,cl50_rs_2008_11_04.wav,cl50_rs_2008_11_04.png,RS,11/4/2008 13:30,clip of ringed seal calls,2008,More info in figure_info.xls. Spectrogram snapshot: cl50_rs_2008_11_04.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010
CL50,cl50_rs_2010_04_20.wav,cl50_rs_2010_04_20.png,RS,4/20/2010 11:19,clip of ringed seal calls,2010,More info in figure_info.xls. Spectrogram snapshot: cl50_rs_2010_04_20.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010
CL50,cl50_wa_2010_07_29.wav,cl50_wa_2010_07_29.png,WA,7/29/2010 1:00,clip of walrus grunts,2010,More info in figure_info.xls. Spectrogram snapshot: cl50_wa_2010_07_29.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010
CL50,cl50_ww_2010_04_25.wav,cl50_ww_2010_04_25.png,WW,4/25/2010 23:17,clip of beluga whale calls,2010,More info in figure_info.xls. Spectrogram snapshot: cl50_ww_2010_04_25.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010
PL05,pl05_wa_grunt_2011_08_09_1015.wav,pl05_wa_grunt_2011_08_09_1015.png,WA,8/9/2011 10:15,clip of walrus grunts,2011,More info in figure_info.xls. Spectrogram snapshot: b15_ww_2009_10_11.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2010-2011
PL35,pl35_gw_2010_07_28.wav,pl35_gw_2010_07_28.png,GW,7/28/2010 16:20,clip of gray whale calls,2010,More info in figure_info.xls. Spectrogram snapshot: pl35_gw_2010_07_28.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010
PL50,pl50_fw_2010-10-03.wav,pl50_fw_2010-10-03.png,FW,10/3/2010 4:12,clip of fin whale calls,2010,More info in figure_info.xls. Spectrogram snapshot: pl50_fw_2010-10-03.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010
PLN20,pln20_kw_2011_09_02_2039.wav,pln20_kw_2011_09_02_2039.png,KW,9/2/2011 20:39,clip of killer whale calls,2011,More info in figure_info.xls. Spectrogram snapshot: b50_bh_2010_09_30.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2010-2011
PLN40,pln40_vessel_2010_07_29.wav,pln40_vessel_2010_07_29.png,VS,7/29/2010 0:25,clip of a vessel passing by the recorder. Lloyd's mirror effect visible in spectrogram.,2010,More info in figure_info.xls. Spectrogram snapshot: pln40_vessel_2010_07_29.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010
PLN40,pln40_wa_2010_01_22.wav,pln40_wa_2010_01_22.png,WA,1/22/2010 8:13,clip of walrus knocks,2010,More info in figure_info.xls. Spectrogram snapshot: pln40_wa_2010_01_22.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010
PLN60,pln60_mw_2011_08_08_1802.wav,pln60_mw_2011_08_08_1802.png,MW,8/8/2011 18:02,clip of minke whale 'boing' calls,2011,More info in figure_info.xls. Spectrogram snapshot: b50_seismic_2010_09_29.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2010-2011
PLN80,pln80_seismic_2011_08_17_0400.wav,pln80_seismic_2011_08_17_0400.png,ARG,8/17/2011 4:00,clip of seismic airgun shots,2011,More info in figure_info.xls. Spectrogram snapshot: cl50_hw_2010_08_07.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2010-2011
W5,w05_gw_2011_08_30_1224.wav,w05_gw_2011_08_30_1224.png,GW,8/30/2011 12:24,clip of gray whale calls,2011,More info in figure_info.xls. Spectrogram snapshot: cl50_kw_2010_09_05.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2010-2011
W20,w20_bs_2009_10_10.wav,w20_bs_2009_10_10.png,BS,10/10/2009 9:55,clip of bearded seal short calls,2009,More info in figure_info.xls. Spectrogram snapshot: w20_bs_2009_10_10.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010
W50,w50_bs_2009_06_08.wav,w50_bs_2009_06_08.png,BS,6/8/2009 9:47,clip of bearded seal trills,2009,More info in figure_info.xls. Spectrogram snapshot: w50_bs_2009_06_08.png,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010
