Day,382067,382070,382049,382069
07-Dec-07,13,3266,1077,687
25-Feb-08,5,135,26,149
28-Jul-08,145,0,0,6
30-Dec-07,22,231,84,14
27-Jan-08,74,49,81,109
29-Jun-08,2237,4,147,93
05-Jul-08,135,11,1056,166
18-Feb-08,11,35,47,16
03-Feb-08,69,67,353,57
08-Nov-07,0,144,0,6
25-Oct-07,1,775,1527,1681
17-Jan-08,53,68,82,148
08-Feb-08,23,14,67,125
04-Jan-08,3,32,46,38
30-May-08,374,725,446,265
12-May-08,157,97,731,229
28-Apr-08,175,121,75,132
12-Nov-07,274,203,47,90
30-Jan-08,33,29,150,38
18-Jun-08,239,161,117,201
06-Feb-08,223,47,33,59
16-Nov-07,143,123,7,3
29-Feb-08,84,31,17,82
14-May-08,56,21,284,490
11-May-08,203,168,696,181
25-Jun-08,352,106,113,168
23-Mar-08,102,91,20,32
22-Mar-08,119,30,9,452
25-Mar-08,43,32,26,41
30-Mar-08,12,11,21,58
11-Dec-07,3,1150,736,607
22-Jan-08,31,18,18,31
10-Jan-08,29,0,75,47
29-Oct-07,1491,911,1280,1506
13-Apr-08,163,26,39,45
29-Mar-08,28,6,5,32
09-Jul-08,2156,19,141,119
26-Jan-08,111,33,59,53
27-Jul-08,345,0,0,435
31-Jan-08,113,5,13,18
17-May-08,225,879,730,131
15-Feb-08,4,8,128,27
04-May-08,98,84,165,134
11-Mar-08,125,59,76,516
16-Jun-08,317,70,276,137
18-May-08,202,843,341,489
24-Jun-08,186,114,127,170
19-Jul-08,185,64,11,264
06-May-08,108,22,346,65
07-Jun-08,436,159,121,186
02-Jan-08,7,31,74,9
04-Jul-08,241,19,1027,184
14-Dec-07,14,3847,430,179
23-Jun-08,161,87,111,121
24-Jan-08,72,26,97,40
13-Dec-07,34,4618,1389,1413
07-Jul-08,2125,37,1623,190
10-Nov-07,25,495,222,218
21-Feb-08,142,30,85,45
23-Nov-07,2,451,58,13
22-Jun-08,253,107,92,135
30-Nov-07,2,57,861,11
03-Jan-08,4,79,89,38
24-Dec-07,16,28,86,34
22-May-08,365,311,292,254
21-Oct-07,0,293,85,0
05-Dec-07,11,2261,83,86
13-Jan-08,257,49,18,99
12-Jun-08,330,116,269,193
19-May-08,318,802,277,210
06-Jul-08,330,98,544,248
07-Mar-08,128,18,24,39
17-Apr-08,155,15,87,49
28-Oct-07,399,550,613,427
21-Apr-08,128,152,302,180
08-Dec-07,10,1065,1505,388
27-Nov-07,16,337,18,93
09-May-08,167,15,256,195
31-May-08,354,743,246,360
12-Apr-08,241,51,41,63
16-Feb-08,19,94,52,25
14-Jun-08,508,81,95,261
14-Mar-08,87,27,42,227
25-Jul-08,661,0,0,236
26-Jul-08,379,0,0,494
03-Mar-08,47,198,100,238
23-Dec-07,54,19,91,64
01-Jan-08,47,97,33,305
03-Nov-07,297,558,506,414
13-Feb-08,23,47,68,38
10-May-08,115,47,843,134
24-Jul-08,68,0,0,209
08-Mar-08,30,38,27,27
19-Apr-08,55,108,232,48
05-Mar-08,115,64,62,705
17-Feb-08,32,20,169,89
03-Apr-08,59,10,27,124
07-Nov-07,0,230,0,0
21-Jul-08,100,0,0,19
01-Jul-08,276,14,78,142
30-Jun-08,375,2,88,49
05-Jun-08,209,97,106,97
02-Mar-08,18,123,39,237
30-Jul-08,31,0,0,0
07-May-08,108,28,124,150
25-Nov-07,2,63,1,15
22-Feb-08,34,25,37,59
17-Jun-08,268,44,269,213
12-Dec-07,25,3849,1008,999
18-Nov-07,33,76,0,0
01-Dec-07,20,1513,755,93
14-Jul-08,32,167,81,473
05-Feb-08,352,8,48,214
05-Apr-08,102,1,174,41
09-Dec-07,87,1298,1199,471
05-May-08,122,89,210,92
06-Nov-07,0,383,0,0
28-Jan-08,166,11,16,44
26-May-08,302,192,308,210
11-Feb-08,62,32,70,193
27-Apr-08,70,223,163,194
15-Apr-08,61,13,52,40
24-Feb-08,8,33,37,40
26-Oct-07,287,10,332,522
09-Nov-07,52,152,177,78
20-Jan-08,60,15,25,65
20-Nov-07,0,12,0,0
20-Jun-08,388,68,134,140
04-Jun-08,432,101,204,200
15-Dec-07,43,4030,1358,306
