Version 2:CSV
Datum:,WGS-84
ZoneOffset:,-8.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Feet)","Depth (Feet)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
T,,70.57305138,-150.03762815,8,19,2008,9,40,25,1e25,1e25,-20.600000,"SM",0.0222,0.7640,0.7640,2.749827,29,
T,,70.57333368,-150.03768917,8,19,2008,9,40,50,1e25,1e25,-20.600000,"SM",0.0196,0.7835,0.7835,2.816002,25,
T,,70.57335656,-150.03771968,8,19,2008,9,40,53,1e25,1e25,-20.600000,"SM",0.0017,0.7853,0.7853,2.075433,3,
T,,70.57356259,-150.03802487,8,19,2008,9,41,16,1e25,1e25,-20.600000,"SM",0.0159,0.8011,0.8011,2.483838,23,
T,,70.57383726,-150.03828429,8,19,2008,9,41,42,1e25,1e25,-20.600000,"SM",0.0199,0.8210,0.8210,2.754347,26,
T,,70.57411194,-150.03849786,8,19,2008,9,42,8,1e25,1e25,-20.600000,"SM",0.0196,0.8406,0.8406,2.714196,26,
T,,70.57440941,-150.03860473,8,19,2008,9,42,36,1e25,1e25,-20.600000,"SM",0.0207,0.8613,0.8613,2.661384,28,
T,,70.57467646,-150.03858947,8,19,2008,9,43,2,1e25,1e25,-20.600000,"SM",0.0185,0.8798,0.8798,2.555243,26,
T,,70.57493588,-150.03871151,8,19,2008,9,43,27,1e25,1e25,-20.600000,"SM",0.0181,0.8979,0.8979,2.612483,25,
T,,70.57517242,-150.03877253,8,19,2008,9,43,48,1e25,1e25,-20.600000,"SM",0.0164,0.9143,0.9143,2.811976,21,
T,,70.57543938,-150.03910823,8,19,2008,9,44,14,1e25,1e25,-20.600000,"SM",0.0200,0.9343,0.9343,2.768310,26,
T,,70.57572168,-150.03933714,8,19,2008,9,44,42,1e25,1e25,-20.600000,"SM",0.0202,0.9545,0.9545,2.597398,28,
T,,70.57587432,-150.03938290,8,19,2008,9,44,56,1e25,1e25,-20.600000,"SM",0.0106,0.9651,0.9651,2.725284,14,
T,,70.57592771,-150.03932188,8,19,2008,9,45,2,1e25,1e25,-20.600000,"SM",0.0039,0.9691,0.9691,2.367926,6,
T,,70.57617188,-150.03890991,8,19,2008,9,45,31,1e25,1e25,-20.600000,"SM",0.0193,0.9884,0.9884,2.401380,29,
T,,70.57649223,-150.03898619,8,19,2008,9,46,1,1e25,1e25,-20.600000,"SM",0.0222,1.0106,1.0106,2.664452,30,
T,,70.57674402,-150.03916925,8,19,2008,9,46,25,1e25,1e25,-20.600000,"SM",0.0179,1.0285,1.0285,2.684763,24,
T,,70.57698056,-150.03942867,8,19,2008,9,46,48,1e25,1e25,-20.600000,"SM",0.0174,1.0459,1.0459,2.722879,23,
T,,70.57723235,-150.03961181,8,19,2008,9,47,14,1e25,1e25,-20.600000,"SM",0.0179,1.0638,1.0638,2.478302,26,
T,,70.57752983,-150.03964232,8,19,2008,9,47,42,1e25,1e25,-20.600000,"SM",0.0206,1.0844,1.0844,2.644124,28,
T,,70.57780450,-150.03967283,8,19,2008,9,48,7,1e25,1e25,-20.600000,"SM",0.0190,1.1034,1.1034,2.734727,25,
T,,70.57809443,-150.03959656,8,19,2008,9,48,35,1e25,1e25,-20.600000,"SM",0.0201,1.1235,1.1235,2.585410,28,
T,,70.57840724,-150.03938290,8,19,2008,9,49,7,1e25,1e25,-20.600000,"SM",0.0222,1.1456,1.1456,2.493414,32,
T,,70.57871243,-150.03956596,8,19,2008,9,49,35,1e25,1e25,-20.600000,"SM",0.0215,1.1671,1.1671,2.764491,28,
T,,70.57881922,-150.03962707,8,19,2008,9,49,45,1e25,1e25,-20.600000,"SM",0.0075,1.1746,1.1746,2.703790,10,
T,,70.57887261,-150.03961181,8,19,2008,9,49,50,1e25,1e25,-20.600000,"SM",0.0037,1.1784,1.1784,2.668099,5,
T,,70.57919305,-150.03958122,8,19,2008,9,50,19,1e25,1e25,-20.600000,"SM",0.0222,1.2005,1.2005,2.749834,29,
T,,70.57942959,-150.03971860,8,19,2008,9,50,42,1e25,1e25,-20.600000,"SM",0.0166,1.2172,1.2172,2.605322,23,
T,,70.57952874,-150.03984064,8,19,2008,9,50,52,1e25,1e25,-20.600000,"SM",0.0074,1.2246,1.2246,2.664948,10,
T,,70.57958214,-150.03990166,8,19,2008,9,50,57,1e25,1e25,-20.600000,"SM",0.0039,1.2285,1.2285,2.841446,5,
