X,Y,LATITUDE,LONGITUDE,"Type",ATTR_1,ATTR_10,ATTR_11,ATTR_12,ATTR_13,ATTR_14,ATTR_15,ATTR_16,ATTR_17,ATTR_18,ATTR_19,ATTR_20,ATTR_21,ATTR_3,ATTR_4,ATTR_5,ATTR_6,ATTR_7,ATTR_8,ATTR_9,Datum:,ZoneOffset:
387989.879,7832630.302,70.573648° N,150.018589° W,,T,1e25,1e25,SM,0.0227,3.1429,16.0863,4.295862,19,,,,,8,19,2008,15,38,52,-16.896005,,
388004.894,7832592.543,70.573316° N,150.018134° W,,T,1e25,1e25,SM,0.0252,3.1681,16.1115,4.314536,21,,,,,8,19,2008,15,39,13,-12.164979,,
388016.145,7832558.200,70.573014° N,150.017786° W,,T,1e25,1e25,SM,0.0224,3.1904,16.1339,4.476729,18,,,,,8,19,2008,15,39,31,-13.742121,,
388025.879,7832522.294,70.572697° N,150.017476° W,,T,1e25,1e25,SM,0.0230,3.2135,16.1569,4.365941,19,,,,,8,19,2008,15,39,50,-16.896005,,
388030.828,7832490.343,70.572413° N,150.017300° W,,T,1e25,1e25,SM,0.0200,3.2335,16.1770,4.506132,16,,,,,8,19,2008,15,40,6,-13.742121,,
388039.407,7832456.377,70.572112° N,150.017024° W,,T,1e25,1e25,SM,0.0217,3.2552,16.1987,4.339881,18,,,,,8,19,2008,15,40,24,-10.588238,,
388051.030,7832420.537,70.571797° N,150.016663° W,,T,1e25,1e25,SM,0.0233,3.2785,16.2220,4.421734,19,,,,,8,19,2008,15,40,43,-9.011496,,
388062.512,7832387.718,70.571508° N,150.016311° W,,T,1e25,1e25,SM,0.0215,3.3001,16.2435,4.307008,18,,,,,8,19,2008,15,41,1,-2.703729,,
388077.453,7832353.108,70.571205° N,150.015862° W,,T,1e25,1e25,SM,0.0233,3.3234,16.2669,4.423831,19,,,,,8,19,2008,15,41,20,0.450955,,
388085.028,7832330.584,70.571006° N,150.015629° W,,T,1e25,1e25,SM,0.0147,3.3381,16.2816,4.075951,13,,,,,8,19,2008,15,41,33,-4.280471,,
388086.140,7832295.763,70.570695° N,150.015552° W,,T,1e25,1e25,SM,0.0216,3.3597,16.3032,4.316133,18,,,,,8,19,2008,15,41,51,2.027697,,
388091.794,7832281.684,70.570572° N,150.015381° W,,T,1e25,1e25,SM,0.0094,3.3691,16.3126,3.382855,10,,,,,8,19,2008,15,42,1,-5.857212,,
388109.566,7832259.093,70.570377° N,150.014873° W,,T,1e25,1e25,SM,0.0178,3.3869,16.3304,4.004716,16,,,,,8,19,2008,15,42,17,-7.434354,,
388135.834,7832229.191,70.570121° N,150.014127° W,,T,1e25,1e25,SM,0.0246,3.4116,16.3550,4.224943,21,,,,,8,19,2008,15,42,38,-9.011496,,
388154.758,7832198.418,70.569854° N,150.013576° W,,T,1e25,1e25,SM,0.0224,3.4339,16.3774,4.238984,19,,,,,8,19,2008,15,42,57,-13.742121,,
388172.605,7832163.207,70.569547° N,150.013049° W,,T,1e25,1e25,SM,0.0244,3.4584,16.4018,4.400826,20,,,,,8,19,2008,15,43,17,-12.164979,,
388186.051,7832133.876,70.569290° N,150.012649° W,,T,1e25,1e25,SM,0.0200,3.4784,16.4218,4.496281,16,,,,,8,19,2008,15,43,33,-10.588238,,
388210.633,7832102.225,70.569017° N,150.011945° W,,T,1e25,1e25,SM,0.0248,3.5032,16.4466,4.254347,21,,,,,8,19,2008,15,43,54,-12.164979,,
388229.564,7832070.235,70.568739° N,150.011393° W,,T,1e25,1e25,SM,0.0230,3.5262,16.4697,4.361706,19,,,,,8,19,2008,15,44,13,-7.434354,,
388246.447,7832048.898,70.568556° N,150.010911° W,,T,1e25,1e25,SM,0.0168,3.5431,16.4865,4.043734,15,,,,,8,19,2008,15,44,28,-9.011496,,
388267.197,7832002.590,70.568150° N,150.010291° W,,T,1e25,1e25,SM,0.0314,3.5745,16.5179,4.190381,27,,,,,8,19,2008,15,44,55,-2.703729,,
388277.802,7831975.367,70.567911° N,150.009969° W,,T,1e25,1e25,SM,0.0181,3.5926,16.5360,4.342822,15,,,,,8,19,2008,15,45,10,-2.703729,,
388297.435,7831930.212,70.567516° N,150.009381° W,,T,1e25,1e25,SM,0.0305,3.6231,16.5665,4.222619,26,,,,,8,19,2008,15,45,36,0.450955,,
388313.462,7831893.883,70.567198° N,150.008902° W,,T,1e25,1e25,SM,0.0246,3.6477,16.5911,4.215741,21,,,,,8,19,2008,15,45,57,3.604438,,
388336.665,7831853.820,70.566849° N,150.008224° W,,T,1e25,1e25,SM,0.0287,3.6763,16.6198,4.128774,25,,,,,8,19,2008,15,46,22,5.181580,,
388369.825,7831814.013,70.566507° N,150.007279° W,,T,1e25,1e25,SM,0.0321,3.7084,16.6519,4.277527,27,,,,,8,19,2008,15,46,49,2.027697,,
388393.099,7831789.066,70.566294° N,150.006620° W,,T,1e25,1e25,SM,0.0211,3.7296,16.6730,4.002935,19,,,,,8,19,2008,15,47,8,2.027697,,
388420.912,7831763.172,70.566075° N,150.005838° W,,T,1e25,1e25,SM,0.0235,3.7531,16.6965,4.235172,20,,,,,8,19,2008,15,47,28,-2.703729,,
388442.077,7831744.508,70.565917° N,150.005244° W,,T,1e25,1e25,SM,0.0175,3.7706,16.7140,3.310530,19,,,,,8,19,2008,15,47,47,3.604438,,
388452.876,7831734.846,70.565835° N,150.004941° W,,T,1e25,1e25,SM,0.0090,3.7795,16.7230,2.691424,12,,,,,8,19,2008,15,47,59,9.912205,,
388460.274,7831728.910,70.565785° N,150.004734° W,,T,1e25,1e25,SM,0.0059,3.7854,16.7289,0.961005,22,,,,,8,19,2008,15,48,21,39.874700,,
388466.521,7831720.804,70.565716° N,150.004555° W,,T,1e25,1e25,SM,0.0063,3.7917,16.7352,1.086455,21,,,,,8,19,2008,15,48,42,60.375144,,
388478.669,7831703.503,70.565566° N,150.004205° W,,T,1e25,1e25,SM,0.0131,3.8048,16.7483,1.812594,26,,,,,8,19,2008,15,49,8,41.451442,,
388484.864,7831696.746,70.565508° N,150.004030° W,,T,1e25,1e25,SM,0.0057,3.8105,16.7540,2.919172,7,,,,,8,19,2008,15,49,15,36.720817,,
388489.915,7831693.052,70.565477° N,150.003889° W,,T,1e25,1e25,SM,0.0039,3.8144,16.7578,2.324527,6,,,,,8,19,2008,15,49,21,33.566933,,
388485.674,7831694.085,70.565485° N,150.004004° W,,T,1e25,1e25,SM,0.0027,3.8171,16.7605,0.810572,12,,,,,8,19,2008,15,49,33,140.800576,,
388133.048,7832665.703,70.574028° N,150.014785° W,,T,1e25,1e25,SM,0.6402,4.4573,17.4007,59.095334,39,,,,,8,19,2008,15,50,12,1132.711976,,
388462.558,7831883.464,70.567170° N,150.004878° W,,T,1e25,1e25,SM,0.5257,4.9830,17.9264,65.260816,29,,,,,8,19,2008,15,50,41,27.259166,,
388599.184,7831760.202,70.566127° N,150.001040° W,,T,1e25,1e25,SM,0.1139,5.0969,18.0404,22.786759,18,,,,,8,19,2008,15,50,59,68.260053,,
388623.605,7831673.241,70.565359° N,150.000267° W,,T,1e25,1e25,SM,0.0559,5.1529,18.0963,13.427143,15,,,,,8,19,2008,15,51,14,63.529428,,
