20-Dec-07,1004,5757,472,7
06-Jun-08,491,474,620,473
02-Jun-08,637,591,283,693
24-Apr-08,85,480,475,327
29-May-08,427,461,794,416
27-Mar-08,854,350,1152,17
23-Apr-08,52,140,306,3692
15-May-08,127,2235,1450,698
27-Feb-08,6,629,17,90
13-Jul-08,353,9,6,145
01-Jun-08,723,544,297,525
01-Nov-07,6,6,6,6
23-May-08,733,1546,420,656
15-Jan-08,423,66,458,427
31-Jul-08,62,0,0,0
10-Dec-07,11,1114,21,11
03-Aug-08,29,0,0,0
26-Apr-08,416,211,110,176
02-Nov-07,6,7,15,27
01-May-08,392,298,1412,2830
04-Dec-07,568,534,275,80
23-Jul-08,107,0,0,259
01-Aug-08,279,0,0,0
29-Jul-08,180,0,0,470
08-Jun-08,395,280,439,588
28-Nov-07,29,401,8,55
23-Jan-08,20,690,137,450
06-Apr-08,225,560,995,52
22-Oct-07,0,7,17,609
16-Apr-08,75,16,14,701
15-Nov-07,18,164,8,6
19-Jan-08,30,112,165,1102
06-Jan-08,16,41,6,8
04-Apr-08,77,13,202,15
15-Mar-08,113,12,10,115
06-Dec-07,6,146,785,240
02-Dec-09,1,0,0,0
10-Feb-08,37,35,190,22
04-Mar-08,98,671,102,38
02-Dec-07,15,6,17,22
29-Dec-07,12,290,49,68
18-Mar-08,41,28,19,227
13-Nov-07,7,25,9,7
18-Dec-07,9,6841,481,7
24-Nov-07,9,141,17,8
16-Jan-08,1362,33,482,1592
22-Apr-08,61,150,192,145
15-Jun-08,811,159,346,376
27-Dec-07,93,228,53,2412
05-Jan-08,243,485,26,8
16-Dec-07,149,6491,41,275
16-May-08,531,3223,1921,299
27-Jun-08,539,214,292,136
11-Apr-08,316,17,240,118
24-Mar-08,248,162,17,177
12-Jan-08,967,3,9,842
26-Mar-08,565,68,67,31
14-Apr-08,228,44,223,72
16-Jul-08,2051,10,6,95
03-May-08,178,414,190,171
25-Dec-07,403,733,219,882
20-Jul-08,155,366,407,128
11-Jul-08,199,11,147,246
03-Dec-07,167,45,68,11
21-Jun-08,762,209,234,352
14-Feb-08,1253,362,179,16
25-Apr-08,142,441,494,1574
13-Jun-08,741,94,755,314
30-Oct-07,6,7,7,11
31-Oct-07,10,7,8,10
02-Aug-08,105,0,0,0
13-May-08,323,301,2227,850
31-Dec-07,6,598,46,10
21-Dec-07,973,4856,797,17
26-Jun-08,477,653,194,205
29-Apr-08,473,394,129,882
10-Mar-08,1464,269,989,40
04-Feb-08,41,54,49,28
03-Jun-08,686,1190,342,746
07-Feb-08,32,9,405,715
08-Jan-08,37,0,7,3431
12-Feb-08,224,1116,1030,50
17-Dec-07,9,4111,95,26
28-May-08,565,1667,555,304
21-Mar-08,36,66,12,95
21-May-08,861,2396,557,280
28-Mar-08,60,24,8,10
03-Jul-08,63,179,448,123
09-Mar-08,140,1268,1025,41
14-Jan-08,39,0,25,116
01-Mar-08,8,633,8,82
17-Nov-07,6,242,7,6
16-Mar-08,131,7,293,346
19-Jun-08,642,132,219,453
11-Jun-08,812,423,413,551
11-Jan-08,8,8,100,15
09-Apr-08,183,16,68,9
23-Oct-07,0,6,11,6
08-Jul-08,275,414,396,67
25-May-08,898,2157,1043,757
29-Jan-08,40,105,52,396
22-Nov-07,9,13,47,10
20-Mar-08,1093,406,49,2268
19-Mar-08,844,23,32,1298
24-Oct-07,0,7,9,7
04-Nov-07,6,6,6,7
28-Dec-07,1024,1147,194,867
26-Feb-08,11,27,23,154
28-Feb-08,15,86,8,24
27-May-08,497,750,1242,436
18-Jan-08,835,58,61,835
18-Apr-08,79,138,278,120
02-Feb-08,7,36,6,186
31-Mar-08,62,128,22,33
17-Mar-08,276,40,9,270
23-Feb-08,11,688,72,206
