Version 2:CSV
Datum:,WGS-84
ZoneOffset:,0.000000
"Type","Name","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Comment","Symbol#","SymbolColor","SymbolDisplay","Altitude (Meters)","Depth (Meters)","Temp Deg C","Ref Dist","Ref units"
W,001,70.54788667,-149.21208833,7,21,2008,11,0,0,21-JUL-08 11:00,18,Default Color,S+N,1.327515,1e25,1e25,0.0,feet
W,002,70.53270833,-149.08479333,7,21,2008,11,32,0,21-JUL-08 11:32,18,Default Color,S+N,0.606567,1e25,1e25,3.112,S mi
W,003,70.48795000,-148.70027000,7,21,2008,13,6,0,21-JUL-08 13:06,18,Default Color,S+N,1.567871,1e25,1e25,12.500,S mi
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Meters)","Depth (Meters)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
T,,70.53598333,-149.11330333,7,21,2008,19,24,48,-4.669312,1e25,1e25,"SM",0.0166,3.6781,3.6781,5.982655,10,
T,,70.53587000,-149.11269000,7,21,2008,19,24,58,-4.669312,1e25,1e25,"SM",0.0161,3.6943,3.6943,5.812792,10,
T,,70.53578667,-149.11208833,7,21,2008,19,25,8,-6.591919,1e25,1e25,"SM",0.0150,3.7093,3.7093,5.400437,10,
T,,70.53568167,-149.11144833,7,21,2008,19,25,18,-5.630493,1e25,1e25,"SM",0.0164,3.7257,3.7257,5.912644,10,
T,,70.53558000,-149.11082000,7,21,2008,19,25,28,-4.669312,1e25,1e25,"SM",0.0161,3.7418,3.7418,5.789378,10,
T,,70.53548333,-149.11016500,7,21,2008,19,25,38,-5.630493,1e25,1e25,"SM",0.0165,3.7583,3.7583,5.937561,10,
T,,70.53539167,-149.10949000,7,21,2008,19,25,48,-5.630493,1e25,1e25,"SM",0.0168,3.7750,3.7750,6.041497,10,
T,,70.53532833,-149.10875833,7,21,2008,19,25,58,-6.111206,1e25,1e25,"SM",0.0174,3.7925,3.7925,6.265694,10,
T,,70.53525833,-149.10808500,7,21,2008,19,26,8,-8.514648,1e25,1e25,"SM",0.0162,3.8087,3.8087,5.846246,10,
T,,70.53518500,-149.10744500,7,21,2008,19,26,18,-5.630493,1e25,1e25,"SM",0.0156,3.8243,3.8243,5.609533,10,
T,,70.53510333,-149.10680500,7,21,2008,19,26,28,-5.630493,1e25,1e25,"SM",0.0158,3.8401,3.8401,5.680337,10,
T,,70.53505167,-149.10607167,7,21,2008,19,26,38,-4.669312,1e25,1e25,"SM",0.0173,3.8573,3.8573,6.212698,10,
T,,70.53499167,-149.10535500,7,21,2008,19,26,48,-5.149902,1e25,1e25,"SM",0.0170,3.8743,3.8743,6.124807,10,
T,,70.53492167,-149.10469667,7,21,2008,19,26,58,-7.553101,1e25,1e25,"SM",0.0159,3.8902,3.8902,5.727766,10,
T,,70.53485833,-149.10403667,7,21,2008,19,27,8,-7.553101,1e25,1e25,"SM",0.0158,3.9060,3.9060,5.692847,10,
T,,70.53480667,-149.10337000,7,21,2008,19,27,18,-6.111206,1e25,1e25,"SM",0.0158,3.9218,3.9218,5.673291,10,
T,,70.53477333,-149.10268333,7,21,2008,19,27,28,-5.149902,1e25,1e25,"SM",0.0160,3.9378,3.9378,5.751677,10,
T,,70.53476167,-149.10198333,7,21,2008,19,27,38,-5.149902,1e25,1e25,"SM",0.0161,3.9539,3.9539,5.809379,10,
T,,70.53472000,-149.10128333,7,21,2008,19,27,48,-3.227295,1e25,1e25,"SM",0.0164,3.9703,3.9703,5.893970,10,
T,,70.53467167,-149.10062000,7,21,2008,19,27,58,-3.227295,1e25,1e25,"SM",0.0156,3.9859,3.9859,5.628128,10,
T,,70.53464333,-149.09994000,7,21,2008,19,28,8,-2.746704,1e25,1e25,"SM",0.0158,4.0017,4.0017,5.680271,10,
T,,70.53463833,-149.09923000,7,21,2008,19,28,18,-2.746704,1e25,1e25,"SM",0.0164,4.0181,4.0181,5.886365,10,
T,,70.53461000,-149.09854833,7,21,2008,19,28,28,-4.669312,1e25,1e25,"SM",0.0158,4.0339,4.0339,5.693988,10,
T,,70.53454833,-149.09789167,7,21,2008,19,28,38,-3.707886,1e25,1e25,"SM",0.0157,4.0496,4.0496,5.654997,10,
T,,70.53448333,-149.09728167,7,21,2008,19,28,48,-4.188599,1e25,1e25,"SM",0.0147,4.0643,4.0643,5.308405,10,
T,,70.53447667,-149.09660667,7,21,2008,19,28,58,-3.227295,1e25,1e25,"SM",0.0155,4.0799,4.0799,5.597444,10,
T,,70.53447833,-149.09590167,7,21,2008,19,29,8,-5.630493,1e25,1e25,"SM",0.0162,4.0961,4.0961,5.843801,10,
T,,70.53443000,-149.09525167,7,21,2008,19,29,18,-5.630493,1e25,1e25,"SM",0.0153,4.1114,4.1114,5.520275,10,
T,,70.53436833,-149.09458833,7,21,2008,19,29,28,-4.669312,1e25,1e25,"SM",0.0159,4.1273,4.1273,5.708251,10,
T,,70.53429000,-149.09398167,7,21,2008,19,29,38,-4.669312,1e25,1e25,"SM",0.0150,4.1423,4.1423,5.392902,10,
T,,70.53419000,-149.09338167,7,21,2008,19,29,48,-4.669312,1e25,1e25,"SM",0.0154,4.1577,4.1577,5.560709,10,
T,,70.53407667,-149.09276333,7,21,2008,19,29,58,-2.746704,1e25,1e25,"SM",0.0162,4.1740,4.1740,5.849466,10,
T,,70.53397167,-149.09218167,7,21,2008,19,30,8,-2.746704,1e25,1e25,"SM",0.0152,4.1892,4.1892,5.483400,10,
T,,70.53385667,-149.09160167,7,21,2008,19,30,18,-2.265991,1e25,1e25,"SM",0.0155,4.2047,4.2047,5.594286,10,
T,,70.53372667,-149.09101833,7,21,2008,19,30,28,-2.265991,1e25,1e25,"SM",0.0162,4.2209,4.2209,5.816912,10,
T,,70.53357833,-149.09048667,7,21,2008,19,30,38,-2.265991,1e25,1e25,"SM",0.0160,4.2369,4.2369,5.747655,10,
T,,70.53343333,-149.09000333,7,21,2008,19,30,48,-2.265991,1e25,1e25,"SM",0.0150,4.2518,4.2518,5.390730,10,
T,,70.53329000,-149.08944000,7,21,2008,19,30,58,-0.343384,1e25,1e25,"SM",0.0163,4.2682,4.2682,5.875070,10,
T,,70.53316333,-149.08889000,7,21,2008,19,31,8,-0.824097,1e25,1e25,"SM",0.0154,4.2836,4.2836,5.541894,10,
T,,70.53310333,-149.08825833,7,21,2008,19,31,18,1.098633,1e25,1e25,"SM",0.0151,4.2987,4.2987,5.444684,10,
T,,70.53303500,-149.08762667,7,21,2008,19,31,28,1.579346,1e25,1e25,"SM",0.0153,4.3140,4.3140,5.505126,10,
T,,70.53295667,-149.08703333,7,21,2008,19,31,38,-0.343384,1e25,1e25,"SM",0.0147,4.3287,4.3287,5.290300,10,
T,,70.53287500,-149.08636833,7,21,2008,19,31,48,1.098633,1e25,1e25,"SM",0.0163,4.3450,4.3450,5.874886,10,
T,,70.53283500,-149.08568833,7,21,2008,19,31,58,1.098633,1e25,1e25,"SM",0.0159,4.3609,4.3609,5.724017,10,
T,,70.53274667,-149.08511833,7,21,2008,19,32,8,0.618042,1e25,1e25,"SM",0.0145,4.3754,4.3754,5.210916,10,
T,,70.53267333,-149.08446667,7,21,2008,19,32,18,0.137451,1e25,1e25,"SM",0.0158,4.3912,4.3912,5.701700,10,
T,,70.53263167,-149.08384667,7,21,2008,19,32,28,-2.746704,1e25,1e25,"SM",0.0146,4.4058,4.4058,5.243018,10,
T,,70.53261000,-149.08310167,7,21,2008,19,32,38,-3.707886,1e25,1e25,"SM",0.0172,4.4230,4.4230,6.199245,10,
T,,70.53257833,-149.08240333,7,21,2008,19,32,48,-1.785278,1e25,1e25,"SM",0.0162,4.4392,4.4392,5.842274,10,
T,,70.53251000,-149.08178000,7,21,2008,19,32,58,-1.304688,1e25,1e25,"SM",0.0151,4.4543,4.4543,5.439592,10,
T,,70.53248833,-149.08096500,7,21,2008,19,33,8,-1.304688,1e25,1e25,"SM",0.0188,4.4732,4.4732,6.777550,10,
T,,70.53242500,-149.08030833,7,21,2008,19,33,18,-1.304688,1e25,1e25,"SM",0.0157,4.4889,4.4889,5.666930,10,
T,,70.53236833,-149.07969333,7,21,2008,19,33,28,-1.304688,1e25,1e25,"SM",0.0147,4.5036,4.5036,5.289436,10,
T,,70.53239500,-149.07877667,7,21,2008,19,33,38,-3.227295,1e25,1e25,"SM",0.0212,4.5248,4.5248,7.627812,10,
T,,70.53238333,-149.07816667,7,21,2008,19,33,48,-2.265991,1e25,1e25,"SM",0.0141,4.5388,4.5388,5.065052,10,
T,,70.53235833,-149.07755000,7,21,2008,19,33,58,-1.304688,1e25,1e25,"SM",0.0143,4.5531,4.5531,5.149684,10,
T,,70.53233667,-149.07675167,7,21,2008,19,34,8,-2.265991,1e25,1e25,"SM",0.0184,4.5716,4.5716,6.639885,10,
T,,70.53226167,-149.07622167,7,21,2008,19,34,18,-0.824097,1e25,1e25,"SM",0.0133,4.5849,4.5849,4.773223,10,
T,,70.53218333,-149.07561333,7,21,2008,19,34,28,1.098633,1e25,1e25,"SM",0.0150,4.5999,4.5999,5.406275,10,
T,,70.53209000,-149.07504500,7,21,2008,19,34,38,0.137451,1e25,1e25,"SM",0.0146,4.6145,4.6145,5.252303,10,
T,,70.53200167,-149.07443000,7,21,2008,19,34,48,-1.785278,1e25,1e25,"SM",0.0154,4.6299,4.6299,5.551566,10,
T,,70.53193000,-149.07378667,7,21,2008,19,34,58,-1.785278,1e25,1e25,"SM",0.0156,4.6455,4.6455,5.623200,10,
T,,70.53186500,-149.07315833,7,21,2008,19,35,8,-3.707886,1e25,1e25,"SM",0.0151,4.6606,4.6606,5.453987,10,
T,,70.53182167,-149.07249000,7,21,2008,19,35,18,-3.707886,1e25,1e25,"SM",0.0157,4.6763,4.6763,5.644320,10,
T,,70.53177000,-149.07185667,7,21,2008,19,35,28,-1.785278,1e25,1e25,"SM",0.0150,4.6913,4.6913,5.405309,10,
T,,70.53169167,-149.07130333,7,21,2008,19,35,38,-1.304688,1e25,1e25,"SM",0.0138,4.7052,4.7052,4.983789,10,
T,,70.53167667,-149.07059000,7,21,2008,19,35,48,-1.785278,1e25,1e25,"SM",0.0165,4.7216,4.7216,5.925302,10,
T,,70.53161667,-149.06994667,7,21,2008,19,35,58,-1.785278,1e25,1e25,"SM",0.0154,4.7370,4.7370,5.538130,10,
T,,70.53158667,-149.06926667,7,21,2008,19,36,8,-0.343384,1e25,1e25,"SM",0.0158,4.7528,4.7528,5.686406,10,
T,,70.53154167,-149.06863333,7,21,2008,19,36,18,0.618042,1e25,1e25,"SM",0.0149,4.7677,4.7677,5.368359,10,
T,,70.53147000,-149.06804333,7,21,2008,19,36,28,1.098633,1e25,1e25,"SM",0.0145,4.7822,4.7822,5.205867,10,
T,,70.53143833,-149.06736833,7,21,2008,19,36,38,0.618042,1e25,1e25,"SM",0.0157,4.7979,4.7979,5.650987,10,
T,,70.53137500,-149.06673000,7,21,2008,19,36,48,1.098633,1e25,1e25,"SM",0.0153,4.8132,4.8132,5.521367,10,
T,,70.53129500,-149.06608167,7,21,2008,19,36,58,0.137451,1e25,1e25,"SM",0.0159,4.8292,4.8292,5.731315,10,
T,,70.53119000,-149.06530333,7,21,2008,19,37,8,-8.514648,1e25,1e25,"SM",0.0193,4.8485,4.8485,6.961058,10,
T,,70.53107333,-149.06479500,7,21,2008,19,37,18,-6.591919,1e25,1e25,"SM",0.0142,4.8627,4.8627,5.116705,10,
T,,70.53097833,-149.06426833,7,21,2008,19,37,28,-7.072510,1e25,1e25,"SM",0.0138,4.8765,4.8765,4.964633,10,
T,,70.53089167,-149.06373500,7,21,2008,19,37,38,-4.669312,1e25,1e25,"SM",0.0137,4.8902,4.8902,4.919024,10,
T,,70.53079000,-149.06317500,7,21,2008,19,37,48,-4.188599,1e25,1e25,"SM",0.0147,4.9048,4.9048,5.286649,10,
T,,70.53067167,-149.06259333,7,21,2008,19,37,58,-3.707886,1e25,1e25,"SM",0.0157,4.9205,4.9205,5.649565,10,
T,,70.53054333,-149.06201167,7,21,2008,19,38,8,-1.304688,1e25,1e25,"SM",0.0161,4.9366,4.9366,5.783077,10,
T,,70.53044667,-149.06144833,7,21,2008,19,38,18,-0.824097,1e25,1e25,"SM",0.0146,4.9512,4.9512,5.252925,10,
T,,70.53036000,-149.06081667,7,21,2008,19,38,28,0.137451,1e25,1e25,"SM",0.0157,4.9669,4.9669,5.663194,10,
T,,70.53026333,-149.06019833,7,21,2008,19,38,38,0.618042,1e25,1e25,"SM",0.0157,4.9826,4.9826,5.662219,10,
T,,70.53019000,-149.05957000,7,21,2008,19,38,48,-0.343384,1e25,1e25,"SM",0.0153,4.9980,4.9980,5.519391,10,
T,,70.53011667,-149.05892833,7,21,2008,19,38,58,-1.304688,1e25,1e25,"SM",0.0156,5.0136,5.0136,5.623858,10,
T,,70.53002333,-149.05831000,7,21,2008,19,39,8,-0.343384,1e25,1e25,"SM",0.0156,5.0292,5.0292,5.627567,10,
T,,70.52993167,-149.05767500,7,21,2008,19,39,18,1.098633,1e25,1e25,"SM",0.0159,5.0452,5.0452,5.737143,10,
T,,70.52985167,-149.05703500,7,21,2008,19,39,28,-0.343384,1e25,1e25,"SM",0.0157,5.0609,5.0609,5.666933,10,
T,,70.52977333,-149.05640333,7,21,2008,19,39,38,2.060059,1e25,1e25,"SM",0.0155,5.0764,5.0764,5.587724,10,
T,,70.52967833,-149.05581667,7,21,2008,19,39,48,1.579346,1e25,1e25,"SM",0.0150,5.0915,5.0915,5.407559,10,
T,,70.52959833,-149.05518833,7,21,2008,19,39,58,0.618042,1e25,1e25,"SM",0.0155,5.1069,5.1069,5.576531,10,
T,,70.52952500,-149.05454833,7,21,2008,19,40,8,1.098633,1e25,1e25,"SM",0.0156,5.1225,5.1225,5.610936,10,
T,,70.52945167,-149.05391167,7,21,2008,19,40,18,2.060059,1e25,1e25,"SM",0.0155,5.1380,5.1380,5.584826,10,
T,,70.52939000,-149.05328000,7,21,2008,19,40,28,2.540649,1e25,1e25,"SM",0.0152,5.1532,5.1532,5.457114,10,
T,,70.52933167,-149.05263333,7,21,2008,19,40,38,3.501953,1e25,1e25,"SM",0.0154,5.1686,5.1686,5.554356,10,
T,,70.52925500,-149.05202333,7,21,2008,19,40,48,5.905273,1e25,1e25,"SM",0.0150,5.1836,5.1836,5.405083,10,
T,,70.52916833,-149.05138667,7,21,2008,19,40,58,3.982666,1e25,1e25,"SM",0.0158,5.1995,5.1995,5.701835,10,
T,,70.52908500,-149.05073833,7,21,2008,19,41,8,3.982666,1e25,1e25,"SM",0.0160,5.2155,5.2155,5.761173,10,
T,,70.52899333,-149.05011333,7,21,2008,19,41,18,4.463257,1e25,1e25,"SM",0.0157,5.2312,5.2312,5.661380,10,
T,,70.52888667,-149.04950333,7,21,2008,19,41,28,3.021240,1e25,1e25,"SM",0.0159,5.2471,5.2471,5.711273,10,
T,,70.52877667,-149.04889667,7,21,2008,19,41,38,2.540649,1e25,1e25,"SM",0.0159,5.2630,5.2630,5.725990,10,
T,,70.52868000,-149.04828000,7,21,2008,19,41,48,3.021240,1e25,1e25,"SM",0.0157,5.2787,5.2787,5.650074,10,
T,,70.52859500,-149.04766167,7,21,2008,19,41,58,2.540649,1e25,1e25,"SM",0.0154,5.2941,5.2941,5.545609,10,
T,,70.52848500,-149.04706000,7,21,2008,19,42,8,2.540649,1e25,1e25,"SM",0.0158,5.3099,5.3099,5.689670,10,
T,,70.52838667,-149.04646000,7,21,2008,19,42,18,2.540649,1e25,1e25,"SM",0.0154,5.3253,5.3253,5.543568,10,
T,,70.52829333,-149.04583500,7,21,2008,19,42,28,2.540649,1e25,1e25,"SM",0.0158,5.3411,5.3411,5.678366,10,
T,,70.52818000,-149.04525333,7,21,2008,19,42,38,3.021240,1e25,1e25,"SM",0.0155,5.3566,5.3566,5.586291,10,
T,,70.52809333,-149.04465000,7,21,2008,19,42,48,2.060059,1e25,1e25,"SM",0.0151,5.3717,5.3717,5.447227,10,
T,,70.52803333,-149.04401333,7,21,2008,19,42,58,3.021240,1e25,1e25,"SM",0.0152,5.3869,5.3869,5.485827,10,
T,,70.52796167,-149.04337000,7,21,2008,19,43,8,0.618042,1e25,1e25,"SM",0.0156,5.4026,5.4026,5.624191,10,
T,,70.52789167,-149.04273500,7,21,2008,19,43,18,-0.343384,1e25,1e25,"SM",0.0154,5.4180,5.4180,5.545563,10,
T,,70.52782167,-149.04209333,7,21,2008,19,43,28,0.137451,1e25,1e25,"SM",0.0156,5.4335,5.4335,5.598089,10,
T,,70.52773167,-149.04146833,7,21,2008,19,43,38,0.618042,1e25,1e25,"SM",0.0157,5.4492,5.4492,5.645108,10,
T,,70.52762167,-149.04086167,7,21,2008,19,43,48,0.618042,1e25,1e25,"SM",0.0159,5.4651,5.4651,5.726242,10,
T,,70.52752833,-149.04025000,7,21,2008,19,43,58,1.579346,1e25,1e25,"SM",0.0155,5.4806,5.4806,5.577833,10,
T,,70.52744167,-149.03962667,7,21,2008,19,44,8,1.579346,1e25,1e25,"SM",0.0156,5.4962,5.4962,5.600056,10,
T,,70.52736000,-149.03899667,7,21,2008,19,44,18,2.060059,1e25,1e25,"SM",0.0156,5.5117,5.5117,5.604872,10,
T,,70.52728000,-149.03837333,7,21,2008,19,44,28,2.060059,1e25,1e25,"SM",0.0154,5.5271,5.5271,5.538377,10,
T,,70.52719167,-149.03774333,7,21,2008,19,44,38,2.540649,1e25,1e25,"SM",0.0157,5.5429,5.5429,5.667117,10,
T,,70.52710167,-149.03711500,7,21,2008,19,44,48,2.540649,1e25,1e25,"SM",0.0158,5.5586,5.5586,5.670640,10,
T,,70.52704500,-149.03647833,7,21,2008,19,44,58,2.540649,1e25,1e25,"SM",0.0152,5.5738,5.5738,5.464102,10,
T,,70.52701167,-149.03584167,7,21,2008,19,45,8,3.982666,1e25,1e25,"SM",0.0148,5.5886,5.5886,5.343901,10,
T,,70.52697667,-149.03516167,7,21,2008,19,45,18,4.463257,1e25,1e25,"SM",0.0158,5.6045,5.6045,5.705327,10,
T,,70.52691333,-149.03451000,7,21,2008,19,45,28,3.501953,1e25,1e25,"SM",0.0156,5.6201,5.6201,5.628538,10,
T,,70.52683000,-149.03388333,7,21,2008,19,45,38,3.982666,1e25,1e25,"SM",0.0155,5.6357,5.6357,5.594474,10,
T,,70.52675000,-149.03324333,7,21,2008,19,45,48,3.021240,1e25,1e25,"SM",0.0157,5.6514,5.6514,5.667693,10,
T,,70.52668333,-149.03260333,7,21,2008,19,45,58,3.501953,1e25,1e25,"SM",0.0154,5.6668,5.6668,5.559951,10,
T,,70.52661000,-149.03195333,7,21,2008,19,46,8,3.982666,1e25,1e25,"SM",0.0158,5.6826,5.6826,5.690139,10,
T,,70.52654000,-149.03131000,7,21,2008,19,46,18,3.982666,1e25,1e25,"SM",0.0156,5.6982,5.6982,5.611545,10,
T,,70.52649333,-149.03065500,7,21,2008,19,46,28,2.540649,1e25,1e25,"SM",0.0154,5.7137,5.7137,5.553997,10,
T,,70.52644167,-149.02999333,7,21,2008,19,46,38,3.501953,1e25,1e25,"SM",0.0157,5.7293,5.7293,5.635138,10,
T,,70.52635500,-149.02936333,7,21,2008,19,46,48,2.540649,1e25,1e25,"SM",0.0157,5.7450,5.7450,5.651374,10,
T,,70.52625667,-149.02875167,7,21,2008,19,46,58,1.579346,1e25,1e25,"SM",0.0156,5.7607,5.7607,5.631018,10,
T,,70.52616833,-149.02814167,7,21,2008,19,47,8,2.060059,1e25,1e25,"SM",0.0153,5.7760,5.7760,5.514861,10,
T,,70.52609833,-149.02750667,7,21,2008,19,47,18,2.540649,1e25,1e25,"SM",0.0154,5.7914,5.7914,5.546005,10,
T,,70.52604167,-149.02686500,7,21,2008,19,47,28,2.540649,1e25,1e25,"SM",0.0153,5.8067,5.8067,5.504424,10,
T,,70.52599000,-149.02622667,7,21,2008,19,47,38,1.579346,1e25,1e25,"SM",0.0151,5.8218,5.8218,5.447047,10,
T,,70.52595500,-149.02556500,7,21,2008,19,47,48,3.501953,1e25,1e25,"SM",0.0154,5.8372,5.8372,5.555410,10,
T,,70.52589667,-149.02490667,7,21,2008,19,47,58,3.021240,1e25,1e25,"SM",0.0157,5.8529,5.8529,5.648676,10,
T,,70.52580833,-149.02429167,7,21,2008,19,48,8,2.540649,1e25,1e25,"SM",0.0154,5.8683,5.8683,5.552997,10,
T,,70.52568167,-149.02374833,7,21,2008,19,48,18,3.021240,1e25,1e25,"SM",0.0153,5.8836,5.8836,5.497884,10,
T,,70.52553833,-149.02323833,7,21,2008,19,48,28,2.540649,1e25,1e25,"SM",0.0154,5.8990,5.8990,5.531428,10,
T,,70.52541167,-149.02268167,7,21,2008,19,48,38,3.982666,1e25,1e25,"SM",0.0155,5.9145,5.9145,5.588903,10,
T,,70.52530000,-149.02209500,7,21,2008,19,48,48,2.540649,1e25,1e25,"SM",0.0156,5.9301,5.9301,5.602051,10,
T,,70.52521833,-149.02147500,7,21,2008,19,48,58,3.021240,1e25,1e25,"SM",0.0154,5.9454,5.9454,5.528178,10,
T,,70.52514167,-149.02084167,7,21,2008,19,49,8,2.060059,1e25,1e25,"SM",0.0155,5.9609,5.9609,5.587518,10,
T,,70.52506500,-149.02021667,7,21,2008,19,49,18,3.021240,1e25,1e25,"SM",0.0153,5.9763,5.9763,5.522631,10,
T,,70.52497500,-149.01962167,7,21,2008,19,49,28,1.579346,1e25,1e25,"SM",0.0151,5.9913,5.9913,5.418264,10,
T,,70.52489667,-149.01901500,7,21,2008,19,49,38,0.618042,1e25,1e25,"SM",0.0150,6.0063,6.0063,5.395077,10,
T,,70.52483500,-149.01838000,7,21,2008,19,49,48,0.618042,1e25,1e25,"SM",0.0152,6.0216,6.0216,5.484778,10,
T,,70.52477333,-149.01774333,7,21,2008,19,49,58,-0.343384,1e25,1e25,"SM",0.0153,6.0368,6.0368,5.498065,10,
T,,70.52471500,-149.01709667,7,21,2008,19,50,8,1.098633,1e25,1e25,"SM",0.0154,6.0523,6.0523,5.555535,10,
T,,70.52465500,-149.01641167,7,21,2008,19,50,18,3.501953,1e25,1e25,"SM",0.0163,6.0686,6.0686,5.873395,10,
T,,70.52459667,-149.01575833,7,21,2008,19,50,28,3.501953,1e25,1e25,"SM",0.0156,6.0842,6.0842,5.608951,10,
T,,70.52454333,-149.01511000,7,21,2008,19,50,38,3.021240,1e25,1e25,"SM",0.0154,6.0995,6.0995,5.537821,10,
T,,70.52449667,-149.01444833,7,21,2008,19,50,48,3.021240,1e25,1e25,"SM",0.0156,6.1151,6.1151,5.608598,10,
T,,70.52442667,-149.01381667,7,21,2008,19,50,58,2.060059,1e25,1e25,"SM",0.0153,6.1305,6.1305,5.520179,10,
T,,70.52434500,-149.01319500,7,21,2008,19,51,8,3.982666,1e25,1e25,"SM",0.0154,6.1459,6.1459,5.541242,10,
T,,70.52424500,-149.01258667,7,21,2008,19,51,18,3.501953,1e25,1e25,"SM",0.0156,6.1615,6.1615,5.624793,10,
T,,70.52416833,-149.01196833,7,21,2008,19,51,28,3.021240,1e25,1e25,"SM",0.0152,6.1767,6.1767,5.470992,10,
T,,70.52412333,-149.01130500,7,21,2008,19,51,38,2.060059,1e25,1e25,"SM",0.0156,6.1923,6.1923,5.613808,10,
T,,70.52408667,-149.01064667,7,21,2008,19,51,48,3.021240,1e25,1e25,"SM",0.0154,6.2076,6.2076,5.535288,10,
T,,70.52404667,-149.00999167,7,21,2008,19,51,58,2.060059,1e25,1e25,"SM",0.0153,6.2230,6.2230,5.522368,10,
T,,70.52401833,-149.00933000,7,21,2008,19,52,8,2.540649,1e25,1e25,"SM",0.0154,6.2384,6.2384,5.532370,10,
T,,70.52399167,-149.00865667,7,21,2008,19,52,18,2.060059,1e25,1e25,"SM",0.0156,6.2540,6.2540,5.623315,10,
T,,70.52394333,-149.00799667,7,21,2008,19,52,28,1.579346,1e25,1e25,"SM",0.0156,6.2695,6.2695,5.603970,10,
T,,70.52387667,-149.00735167,7,21,2008,19,52,38,1.579346,1e25,1e25,"SM",0.0156,6.2851,6.2851,5.600246,10,
T,,70.52383167,-149.00669000,7,21,2008,19,52,48,1.579346,1e25,1e25,"SM",0.0156,6.3006,6.3006,5.600342,10,
T,,70.52380000,-149.00602667,7,21,2008,19,52,58,2.060059,1e25,1e25,"SM",0.0154,6.3161,6.3161,5.557282,10,
T,,70.52373333,-149.00539000,7,21,2008,19,53,8,1.579346,1e25,1e25,"SM",0.0154,6.3315,6.3315,5.534309,10,
T,,70.52362667,-149.00481167,7,21,2008,19,53,18,0.618042,1e25,1e25,"SM",0.0152,6.3467,6.3467,5.481218,10,
T,,70.52351667,-149.00422167,7,21,2008,19,53,28,1.098633,1e25,1e25,"SM",0.0156,6.3623,6.3623,5.606098,10,
T,,70.52343333,-149.00358167,7,21,2008,19,53,38,3.021240,1e25,1e25,"SM",0.0158,6.3781,6.3781,5.698141,10,
T,,70.52336333,-149.00298833,7,21,2008,19,53,48,1.579346,1e25,1e25,"SM",0.0145,6.3926,6.3926,5.219716,10,
T,,70.52327833,-149.00236833,7,21,2008,19,53,58,2.060059,1e25,1e25,"SM",0.0154,6.4080,6.4080,5.559634,10,
T,,70.52318167,-149.00176500,7,21,2008,19,54,8,2.540649,1e25,1e25,"SM",0.0154,6.4234,6.4234,5.551458,10,
T,,70.52308667,-149.00115000,7,21,2008,19,54,18,3.982666,1e25,1e25,"SM",0.0156,6.4391,6.4391,5.621294,10,
T,,70.52301000,-149.00052333,7,21,2008,19,54,28,3.501953,1e25,1e25,"SM",0.0154,6.4544,6.4544,5.536099,10,
T,,70.52294000,-148.99987000,7,21,2008,19,54,38,3.021240,1e25,1e25,"SM",0.0158,6.4703,6.4703,5.691348,10,
T,,70.52286000,-148.99926167,7,21,2008,19,54,48,2.060059,1e25,1e25,"SM",0.0151,6.4853,6.4853,5.423513,10,
T,,70.52279000,-148.99862000,7,21,2008,19,54,58,2.540649,1e25,1e25,"SM",0.0156,6.5009,6.5009,5.599345,10,
T,,70.52273500,-148.99796333,7,21,2008,19,55,8,2.540649,1e25,1e25,"SM",0.0156,6.5165,6.5165,5.615369,10,
T,,70.52268000,-148.99730000,7,21,2008,19,55,18,3.021240,1e25,1e25,"SM",0.0157,6.5322,6.5322,5.669024,10,
T,,70.52261833,-148.99664667,7,21,2008,19,55,28,2.540649,1e25,1e25,"SM",0.0156,6.5479,6.5479,5.631478,10,
T,,70.52254667,-148.99601000,7,21,2008,19,55,38,3.021240,1e25,1e25,"SM",0.0155,6.5633,6.5633,5.573128,10,
T,,70.52247333,-148.99536333,7,21,2008,19,55,48,3.982666,1e25,1e25,"SM",0.0157,6.5791,6.5791,5.665001,10,
T,,70.52241000,-148.99471333,7,21,2008,19,55,58,3.501953,1e25,1e25,"SM",0.0156,6.5947,6.5947,5.616422,10,
T,,70.52236500,-148.99405167,7,21,2008,19,56,8,2.540649,1e25,1e25,"SM",0.0156,6.6102,6.6102,5.600731,10,
T,,70.52233500,-148.99338667,7,21,2008,19,56,18,2.060059,1e25,1e25,"SM",0.0155,6.6257,6.6257,5.565650,10,
T,,70.52231000,-148.99271333,7,21,2008,19,56,28,1.098633,1e25,1e25,"SM",0.0156,6.6413,6.6413,5.619037,10,
T,,70.52225500,-148.99206833,7,21,2008,19,56,38,1.098633,1e25,1e25,"SM",0.0153,6.6566,6.6566,5.521698,10,
T,,70.52217833,-148.99143833,7,21,2008,19,56,48,1.098633,1e25,1e25,"SM",0.0155,6.6721,6.6721,5.562261,10,
T,,70.52208833,-148.99080500,7,21,2008,19,56,58,1.098633,1e25,1e25,"SM",0.0159,6.6880,6.6880,5.709951,10,
T,,70.52197500,-148.99018333,7,21,2008,19,57,8,3.021240,1e25,1e25,"SM",0.0163,6.7043,6.7043,5.876392,10,
