Version 2:CSV
Datum:,WGS-84
ZoneOffset:,0.000000
"Type","Name","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Comment","Symbol#","SymbolColor","SymbolDisplay","Altitude (Meters)","Depth (Meters)","Temp Deg C","Ref Dist","Ref units"
W,001,70.54788667,-149.21208833,7,21,2008,11,0,0,21-JUL-08 11:00,18,Default Color,S+N,1.327515,1e25,1e25,0.0,feet
W,002,70.53270833,-149.08479333,7,21,2008,11,32,0,21-JUL-08 11:32,18,Default Color,S+N,0.606567,1e25,1e25,3.112,S mi
W,003,70.48795000,-148.70027000,7,21,2008,13,6,0,21-JUL-08 13:06,18,Default Color,S+N,1.567871,1e25,1e25,12.500,S mi
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Meters)","Depth (Meters)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
T,,70.54562833,-149.19432000,7,21,2008,19,5,8,-3.707886,1e25,1e25,"SM",0.0170,0.6927,0.6927,6.117583,10,
T,,70.54556167,-149.19359833,7,21,2008,19,5,18,-4.669312,1e25,1e25,"SM",0.0172,0.7099,0.7099,6.204227,10,
T,,70.54546667,-149.19289167,7,21,2008,19,5,28,-5.149902,1e25,1e25,"SM",0.0175,0.7275,0.7275,6.313183,10,
T,,70.54551167,-149.19182500,7,21,2008,19,5,38,-0.824097,1e25,1e25,"SM",0.0247,0.7522,0.7522,8.907262,10,
T,,70.54541500,-149.19117333,7,21,2008,19,5,48,-0.343384,1e25,1e25,"SM",0.0164,0.7686,0.7686,5.909890,10,
T,,70.54531667,-149.19048833,7,21,2008,19,5,58,0.137451,1e25,1e25,"SM",0.0172,0.7858,0.7858,6.179488,10,
T,,70.54522000,-149.18979500,7,21,2008,19,6,8,-0.343384,1e25,1e25,"SM",0.0173,0.8031,0.8031,6.226847,10,
T,,70.54512000,-149.18914167,7,21,2008,19,6,18,-1.785278,1e25,1e25,"SM",0.0165,0.8196,0.8196,5.956720,10,
T,,70.54504167,-149.18850333,7,21,2008,19,6,28,0.618042,1e25,1e25,"SM",0.0157,0.8353,0.8353,5.635816,10,
T,,70.54496500,-149.18780833,7,21,2008,19,6,38,0.618042,1e25,1e25,"SM",0.0168,0.8521,0.8521,6.065351,10,
T,,70.54489500,-149.18712167,7,21,2008,19,6,48,-0.343384,1e25,1e25,"SM",0.0165,0.8687,0.8687,5.949246,10,
T,,70.54484833,-149.18639500,7,21,2008,19,6,58,0.137451,1e25,1e25,"SM",0.0170,0.8857,0.8857,6.131039,10,
T,,70.54967333,-149.16910333,7,21,2008,19,7,8,53.490479,1e25,1e25,"SM",0.5191,1.4048,1.4048,186.870909,10,
T,,70.54954833,-149.16844000,7,21,2008,19,7,18,53.971191,1e25,1e25,"SM",0.0175,1.4223,1.4223,6.312930,10,
T,,70.54942333,-149.16777500,7,21,2008,19,7,28,54.451782,1e25,1e25,"SM",0.0176,1.4399,1.4399,6.324978,10,
T,,70.54443500,-149.18348833,7,21,2008,19,7,38,-0.824097,1e25,1e25,"SM",0.4995,1.9394,1.9394,179.828868,10,
