Version 2:CSV
Datum:,WGS-84
ZoneOffset:,-8.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Feet)","Depth (Feet)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
T,,70.56449974,-150.03512037,8,19,2008,9,28,10,9.912205,1e25,1e25,"SM",0.0250,0.5400,0.5400,2.900167,31,
T,,70.56497701,-150.03535473,8,19,2008,9,28,50,6.758722,1e25,1e25,"SM",0.0334,0.5734,0.5734,3.007184,40,
T,,70.56501321,-150.03536194,8,19,2008,9,28,53,8.335464,1e25,1e25,"SM",0.0025,0.5759,0.5759,3.008809,3,
T,,70.56442103,-150.03413952,8,19,2008,9,28,55,9.912205,1e25,1e25,"SM",0.0496,0.6256,0.6256,89.348192,2,
T,,70.56455137,-150.03421563,8,19,2008,9,29,5,11.489348,1e25,1e25,"SM",0.0092,0.6347,0.6347,3.302620,10,
T,,70.56506577,-150.03468686,8,19,2008,9,29,39,14.643231,1e25,1e25,"SM",0.0372,0.6719,0.6719,3.934156,34,
T,,70.56571579,-150.03509045,8,19,2008,9,30,21,8.335464,1e25,1e25,"SM",0.0459,0.7178,0.7178,3.930875,42,
T,,70.56628777,-150.03540955,8,19,2008,9,31,0,6.758722,1e25,1e25,"SM",0.0402,0.7579,0.7579,3.710322,39,
T,,70.56674215,-150.03571792,8,19,2008,9,31,31,8.335464,1e25,1e25,"SM",0.0322,0.7901,0.7901,3.737639,31,
T,,70.56735604,-150.03588212,8,19,2008,9,32,14,9.912205,1e25,1e25,"SM",0.0426,0.8327,0.8327,3.565120,43,
T,,70.56768629,-150.03586099,8,19,2008,9,32,38,3.604438,1e25,1e25,"SM",0.0228,0.8555,0.8555,3.423456,24,
T,,70.56813288,-150.03571649,8,19,2008,9,33,9,3.604438,1e25,1e25,"SM",0.0310,0.8866,0.8866,3.604009,31,
T,,70.56851442,-150.03594046,8,19,2008,9,33,38,-7.434354,1e25,1e25,"SM",0.0269,0.9134,0.9134,3.334362,29,
T,,70.56891558,-150.03651537,8,19,2008,9,34,10,-13.742121,1e25,1e25,"SM",0.0307,0.9441,0.9441,3.454470,32,
T,,70.56935026,-150.03694695,8,19,2008,9,34,48,-9.011496,1e25,1e25,"SM",0.0316,0.9758,0.9758,2.996503,38,
T,,70.56977900,-150.03725289,8,19,2008,9,35,21,17.797115,1e25,1e25,"SM",0.0304,1.0062,1.0062,3.321370,33,
T,,70.57005677,-150.03657966,8,19,2008,9,35,44,3.604438,1e25,1e25,"SM",0.0247,1.0309,1.0309,3.858799,23,
T,,70.56998117,-150.04888815,8,19,2008,9,36,24,2075.737580,1e25,1e25,"SM",0.2829,1.3138,1.3138,25.465440,40,
T,,70.57106763,-150.03702952,8,19,2008,9,37,13,14.643231,1e25,1e25,"SM",0.2827,1.5965,1.5965,20.770039,49,
T,,70.57142118,-150.03748859,8,19,2008,9,37,45,13.066490,1e25,1e25,"SM",0.0266,1.6231,1.6231,2.993519,32,
T,,70.57182904,-150.03980074,8,19,2008,9,38,24,576.042916,1e25,1e25,"SM",0.0601,1.6833,1.6833,5.552192,39,
T,,70.57205016,-150.03864286,8,19,2008,9,38,46,312.689433,1e25,1e25,"SM",0.0307,1.7140,1.7140,5.021036,22,
T,,70.57251938,-150.03852133,8,19,2008,9,39,36,301.651041,1e25,1e25,"SM",0.0325,1.7465,1.7465,2.342881,50,
T,,70.57293973,-150.03833441,8,19,2008,9,40,13,8.335464,1e25,1e25,"SM",0.0294,1.7759,1.7759,2.856600,37,
T,,70.57328749,-150.03827599,8,19,2008,9,40,43,8.335464,1e25,1e25,"SM",0.0241,1.7999,1.7999,2.887889,30,
T,,70.57364901,-150.03852418,8,19,2008,9,41,23,2.027697,1e25,1e25,"SM",0.0256,1.8255,1.8255,2.305883,40,
T,,70.57409409,-150.03894503,8,19,2008,9,42,6,13.066490,1e25,1e25,"SM",0.0322,1.8578,1.8578,2.698903,43,
T,,70.57435820,-150.03903380,8,19,2008,9,42,30,9.912205,1e25,1e25,"SM",0.0184,1.8761,1.8761,2.754323,24,
T,,70.57472331,-150.03897521,8,19,2008,9,43,6,6.758722,1e25,1e25,"SM",0.0253,1.9014,1.9014,2.526297,36,
T,,70.57498022,-150.03908375,8,19,2008,9,43,31,3.604438,1e25,1e25,"SM",0.0179,1.9193,1.9193,2.581177,25,
T,,70.57542228,-150.03943730,8,19,2008,9,44,11,3.604438,1e25,1e25,"SM",0.0316,1.9509,1.9509,2.844492,40,
