X,Y,LABEL,ATTR_1,ATTR_10,ATTR_11,ATTR_12,ATTR_13,ATTR_14,ATTR_15,ATTR_2,ATTR_3,ATTR_4,ATTR_5,ATTR_6,ATTR_7,ATTR_8,ATTR_9
863252.255,7856095.569,,7,SM,0.0172,0.7858,0.7858,6.179488,10,21,2008,19,5,58,0.137451,1.00E+25,1.00E+25
863279.469,7856089.064,,7,SM,0.0173,0.8031,0.8031,6.226847,10,21,2008,19,6,8,-0.343384,1.00E+25,1.00E+25
863305.273,7856081.954,,7,SM,0.0165,0.8196,0.8196,5.95672,10,21,2008,19,6,18,-1.785278,1.00E+25,1.00E+25
863330.141,7856077.143,,7,SM,0.0157,0.8353,0.8353,5.635816,10,21,2008,19,6,28,0.618042,1.00E+25,1.00E+25
863357.059,7856072.855,,7,SM,0.0168,0.8521,0.8521,6.065351,10,21,2008,19,6,38,0.618042,1.00E+25,1.00E+25
863383.548,7856069.253,,7,SM,0.0165,0.8687,0.8687,5.949246,10,21,2008,19,6,48,-0.343384,1.00E+25,1.00E+25
863411.092,7856068.463,,7,SM,0.017,0.8857,0.8857,6.131039,10,21,2008,19,6,58,0.137451,1.00E+25,1.00E+25
863959.593,7856704.114,,7,SM,0.5191,1.4048,1.4048,186.870909,10,21,2008,19,7,8,53.490479,1.00E+25,1.00E+25
863986.213,7856694.316,,7,SM,0.0175,1.4223,1.4223,6.31293,10,21,2008,19,7,18,53.971191,1.00E+25,1.00E+25
864012.895,7856684.527,,7,SM,0.0176,1.4399,1.4399,6.324978,10,21,2008,19,7,28,54.451782,1.00E+25,1.00E+25
863525.340,7856040.318,,7,SM,0.4995,1.9394,1.9394,179.828868,10,21,2008,19,7,38,-0.824097,1.00E+25,1.00E+25
863542.337,7856025.925,,7,SM,0.0138,1.9532,1.9532,4.958083,10,21,2008,19,7,48,2.540649,1.00E+25,1.00E+25
863568.050,7856018.236,,7,SM,0.0166,1.9698,1.9698,5.97266,10,21,2008,19,7,58,1.579346,1.00E+25,1.00E+25
863595.300,7856011.553,,7,SM,0.0173,1.9871,1.9871,6.243269,10,21,2008,19,8,8,1.579346,1.00E+25,1.00E+25
863625.603,7856003.482,,7,SM,0.0194,2.0065,2.0065,6.978775,10,21,2008,19,8,18,1.098633,1.00E+25,1.00E+25
863655.111,7855995.659,,7,SM,0.0189,2.0254,2.0254,6.793686,10,21,2008,19,8,28,0.618042,1.00E+25,1.00E+25
863680.401,7855988.280,,7,SM,0.0163,2.0416,2.0416,5.862122,10,21,2008,19,8,38,1.098633,1.00E+25,1.00E+25
863710.036,7855981.233,,7,SM,0.0188,2.0605,2.0605,6.778587,10,21,2008,19,8,48,2.060059,1.00E+25,1.00E+25
863738.611,7855977.974,,7,SM,0.0178,2.0782,2.0782,6.400011,10,21,2008,19,8,58,2.060059,1.00E+25,1.00E+25
863754.543,7855973.218,,7,SM,0.0103,2.0885,2.0885,3.699828,10,21,2008,19,9,8,1.579346,1.00E+25,1.00E+25
863773.164,7855968.146,,7,SM,0.0119,2.1005,2.1005,4.295225,10,21,2008,19,9,18,1.098633,1.00E+25,1.00E+25
863806.388,7855963.384,,7,SM,0.0207,2.1212,2.1212,7.468681,10,21,2008,19,9,28,0.618042,1.00E+25,1.00E+25
863836.396,7855957.154,,7,SM,0.0189,2.1401,2.1401,6.819558,10,21,2008,19,9,38,-0.343384,1.00E+25,1.00E+25
863865.942,7855950.660,,7,SM,0.0187,2.1588,2.1588,6.731791,10,21,2008,19,9,48,-0.343384,1.00E+25,1.00E+25
863895.360,7855943.014,,7,SM,0.0188,2.1776,2.1776,6.764439,10,21,2008,19,9,58,-0.824097,1.00E+25,1.00E+25
863923.334,7855932.679,,7,SM,0.0184,2.1961,2.1961,6.636534,10,21,2008,19,10,8,-0.824097,1.00E+25,1.00E+25
863954.768,7855922.722,,7,SM,0.0204,2.2165,2.2165,7.337755,10,21,2008,19,10,18,-0.343384,1.00E+25,1.00E+25
863981.185,7855914.208,,7,SM,0.0172,2.2336,2.2336,6.176839,10,21,2008,19,10,28,-0.343384,1.00E+25,1.00E+25
864006.722,7855907.250,,7,SM,0.0164,2.25,2.25,5.889858,10,21,2008,19,10,38,-1.304688,1.00E+25,1.00E+25
864034.254,7855901.938,,7,SM,0.0173,2.2673,2.2673,6.239374,10,21,2008,19,10,48,-1.304688,1.00E+25,1.00E+25
864056.618,7855898.613,,7,SM,0.014,2.2813,2.2813,5.031355,10,21,2008,19,10,58,-3.227295,1.00E+25,1.00E+25
864085.653,7855894.867,,7,SM,0.0181,2.2994,2.2994,6.514661,10,21,2008,19,11,8,-1.785278,1.00E+25,1.00E+25
864115.278,7855892.917,,7,SM,0.0183,2.3177,2.3177,6.605989,10,21,2008,19,11,18,-2.746704,1.00E+25,1.00E+25
864138.012,7855890.028,,7,SM,0.0142,2.3319,2.3319,5.09934,10,21,2008,19,11,28,-3.227295,1.00E+25,1.00E+25
864167.236,7855887.070,,7,SM,0.0182,2.35,2.35,6.535831,10,21,2008,19,11,38,-3.227295,1.00E+25,1.00E+25
864195.867,7855881.185,,7,SM,0.0181,2.3681,2.3681,6.504607,10,21,2008,19,11,48,-2.746704,1.00E+25,1.00E+25
864224.403,7855873.964,,7,SM,0.0182,2.3863,2.3863,6.550384,10,21,2008,19,11,58,-2.746704,1.00E+25,1.00E+25
864252.572,7855866.684,,7,SM,0.018,2.4043,2.4043,6.47451,10,21,2008,19,12,8,-1.304688,1.00E+25,1.00E+25
864275.232,7855859.635,,7,SM,0.0147,2.419,2.419,5.281095,10,21,2008,19,12,18,-2.265991,1.00E+25,1.00E+25
864302.603,7855851.470,,7,SM,0.0177,2.4366,2.4366,6.356264,10,21,2008,19,12,28,-3.227295,1.00E+25,1.00E+25
864332.079,7855840.819,,7,SM,0.0194,2.456,2.456,6.974684,10,21,2008,19,12,38,-2.746704,1.00E+25,1.00E+25
864356.900,7855829.786,,7,SM,0.0168,2.4728,2.4728,6.04539,10,21,2008,19,12,48,-1.785278,1.00E+25,1.00E+25
864383.850,7855823.440,,7,SM,0.0171,2.4899,2.4899,6.160939,10,21,2008,19,12,58,-1.785278,1.00E+25,1.00E+25
864410.834,7855819.174,,7,SM,0.0169,2.5068,2.5068,6.079479,10,21,2008,19,13,8,-0.824097,1.00E+25,1.00E+25
864438.280,7855815.173,,7,SM,0.0171,2.5239,2.5239,6.171845,10,21,2008,19,13,18,-0.824097,1.00E+25,1.00E+25
864465.478,7855810.378,,7,SM,0.0171,2.541,2.541,6.145732,10,21,2008,19,13,28,-1.785278,1.00E+25,1.00E+25
864492.953,7855804.685,,7,SM,0.0173,2.5583,2.5583,6.243122,10,21,2008,19,13,38,-1.785278,1.00E+25,1.00E+25
864520.487,7855799.755,,7,SM,0.0173,2.5756,2.5756,6.224673,10,21,2008,19,13,48,-1.785278,1.00E+25,1.00E+25
864551.274,7855796.491,,7,SM,0.0191,2.5948,2.5948,6.88871,10,21,2008,19,13,58,-2.265991,1.00E+25,1.00E+25
864579.001,7855794.236,,7,SM,0.0172,2.612,2.612,6.190164,10,21,2008,19,14,8,-3.227295,1.00E+25,1.00E+25
864604.399,7855791.599,,7,SM,0.0158,2.6278,2.6278,5.682271,10,21,2008,19,14,18,-3.227295,1.00E+25,1.00E+25
864631.361,7855788.653,,7,SM,0.0168,2.6445,2.6445,6.034859,10,21,2008,19,14,28,-2.746704,1.00E+25,1.00E+25
864659.972,7855785.223,,7,SM,0.0178,2.6623,2.6623,6.4123,10,21,2008,19,14,38,-2.265991,1.00E+25,1.00E+25
864687.815,7855779.592,,7,SM,0.0176,2.6799,2.6799,6.320681,10,21,2008,19,14,48,-3.227295,1.00E+25,1.00E+25
864715.133,7855773.687,,7,SM,0.0173,2.6972,2.6972,6.219699,10,21,2008,19,14,58,-3.227295,1.00E+25,1.00E+25
864741.872,7855768.253,,7,SM,0.0169,2.714,2.714,6.071802,10,21,2008,19,15,8,-3.707886,1.00E+25,1.00E+25
864769.597,7855764.867,,7,SM,0.0173,2.7313,2.7313,6.21516,10,21,2008,19,15,18,-3.227295,1.00E+25,1.00E+25
864796.564,7855763.811,,7,SM,0.0167,2.748,2.748,6.005016,10,21,2008,19,15,28,-3.227295,1.00E+25,1.00E+25
864823.695,7855766.365,,7,SM,0.0168,2.7648,2.7648,6.06337,10,21,2008,19,15,38,-2.265991,1.00E+25,1.00E+25
864851.629,7855771.316,,7,SM,0.0175,2.7823,2.7823,6.312135,10,21,2008,19,15,48,-1.785278,1.00E+25,1.00E+25
864877.875,7855775.425,,7,SM,0.0164,2.7988,2.7988,5.911219,10,21,2008,19,15,58,-1.304688,1.00E+25,1.00E+25
864902.438,7855779.069,,7,SM,0.0153,2.8141,2.8141,5.524991,10,21,2008,19,16,8,-1.304688,1.00E+25,1.00E+25
864927.687,7855777.355,,7,SM,0.0156,2.8298,2.8298,5.63154,10,21,2008,19,16,18,-4.188599,1.00E+25,1.00E+25
864953.713,7855778.222,,7,SM,0.0161,2.8459,2.8459,5.793619,10,21,2008,19,16,28,-4.669312,1.00E+25,1.00E+25
864988.071,7855782.339,,7,SM,0.0214,2.8672,2.8672,7.699863,10,21,2008,19,16,38,-3.227295,1.00E+25,1.00E+25
865014.678,7855784.245,,7,SM,0.0165,2.8837,2.8837,5.935623,10,21,2008,19,16,48,-1.785278,1.00E+25,1.00E+25
865043.853,7855783.930,,7,SM,0.018,2.9018,2.9018,6.491726,10,21,2008,19,16,58,-2.265991,1.00E+25,1.00E+25
865069.536,7855783.043,,7,SM,0.0159,2.9176,2.9176,5.717911,10,21,2008,19,17,8,-5.149902,1.00E+25,1.00E+25
865094.899,7855778.330,,7,SM,0.0159,2.9336,2.9336,5.740894,10,21,2008,19,17,18,-6.111206,1.00E+25,1.00E+25
865122.004,7855771.830,,7,SM,0.0172,2.9508,2.9508,6.202805,10,21,2008,19,17,28,-6.111206,1.00E+25,1.00E+25
