X,Y,,,,,,0,60641.1,,,,123.2091312,,
534556.2,7796152.9,,,,,,89.81091248,60684.1,,,,121.1896799,,
534557.2,7796152.8,,,,,,90.91078044,60684.6,,,,121.0900686,,
534558.3,7796152.8,,,,,,91.91224075,60685.1,,,,121.1886039,,
534559.3,7796152.7,,,,,,92.91210901,60685.6,,,,121.1887317,,
534560.3,7796152.7,,,,,,94.01361604,60686.1,,,,121.0872208,,
534561.4,7796152.6,,,,,,95.01184137,60686.6,,,,121.1892918,,
534562.4,7796152.7,,,,,,96.01171803,60687.1,,,,121.18941,,
534563.4,7796152.7,,,,,,97.1115853,60687.6,,,,121.0895375,,
534564.5,7796152.7,,,,,,98.11146722,60688.1,,,,121.18965,,
534565.5,7796152.7,,,,,,98.21145554,60688.1,,,,122.1896561,,
534565.6,7796152.7,,,,,,98.21145554,60688.1,,,,123.189651,,
534565.6,7796152.7,,,,,,99.21134008,60688.6,,,,123.289761,,
534566.6,7796152.7,,,,,,100.3112157,60689.1,,,,123.1898805,,
534567.7,7796152.7,,,,,,101.3126349,60689.6,,,,123.1884564,,
534568.7,7796152.6,,,,,,102.3141241,60690.1,,,,123.2869618,,
534569.7,7796152.5,,,,,,103.4139739,60690.6,,,,123.1874383,,
534570.8,7796152.5,,,,,,104.4138401,60691.1,,,,123.1875659,,
534571.8,7796152.5,,,,,,105.5136958,60691.6,,,,123.1877034,,
534572.9,7796152.5,,,,,,106.5135672,60692.1,,,,123.1878259,,
534573.9,7796152.5,,,,,,107.6118953,60692.6,,,,123.1894912,,
534575,7796152.6,,,,,,108.6117857,60693.1,,,,123.1892712,,
534576,7796152.6,,,,,,109.6116782,60693.6,,,,123.2893737,,
534577,7796152.6,,,,,,110.7115622,60694.1,,,,123.1894853,,
534578.1,7796152.6,,,,,,111.7114587,60694.6,,,,123.2895839,,
534579.1,7796152.6,,,,,,112.8113469,60695.1,,,,123.190009,,
534580.2,7796152.6,,,,,,113.812697,60695.6,,,,123.2886526,,
534581.2,7796152.5,,,,,,114.9125755,60696.1,,,,123.1887685,,
534582.3,7796152.5,,,,,,115.912467,60696.6,,,,123.1888714,,
534583.3,7796152.5,,,,,,117.0123498,60697.1,,,,123.1889824,,
534584.4,7796152.5,,,,,,118.010847,60697.6,,,,123.1904797,,
534585.4,7796152.6,,,,,,119.1107468,60698.1,,,,123.1905739,,
