Time,File,Total,bearded seal,beluga,Unknown,bowhead,Boating,minke,Walrus,
02-Oct-07 01:33:21,shell-367F0861.a28..1191288801.2007-10-02-01-33-21.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 02:07:06,shell-367F0862.a28..1191290826.2007-10-02-02-07-06.wav_chan0.xml,6,0,0,4,2,0,0,0,
02-Oct-07 02:40:50,shell-367F0863.a28..1191292850.2007-10-02-02-40-50.wav_chan0.xml,1,0,0,0,1,0,0,0,
02-Oct-07 03:14:34,shell-367F0864.a28..1191294874.2007-10-02-03-14-34.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 03:48:15,shell-367F0865.a28..1191296895.2007-10-02-03-48-15.wav_chan0.xml,3,2,0,1,0,0,0,0,
02-Oct-07 04:21:57,shell-367F0866.a28..1191298917.2007-10-02-04-21-57.wav_chan0.xml,1,1,0,0,0,0,0,0,
02-Oct-07 04:55:39,shell-367F0867.a28..1191300939.2007-10-02-04-55-39.wav_chan0.xml,2,1,0,0,1,0,0,0,
02-Oct-07 05:29:20,shell-367F0868.a28..1191302960.2007-10-02-05-29-20.wav_chan0.xml,1,0,0,0,1,0,0,
02-Oct-07 06:03:02,shell-367F0869.a28..1191304982.2007-10-02-06-03-02.wav_chan0.xml,0,0,0,0,0,0,0,
02-Oct-07 06:36:44,shell-367F0870.a28..1191307004.2007-10-02-06-36-44.wav_chan0.xml,1,1,0,0,0,0,0,0,
02-Oct-07 07:10:25,shell-367F0871.a28..1191309025.2007-10-02-07-10-25.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 07:44:07,shell-367F0872.a28..1191311047.2007-10-02-07-44-07.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 08:17:49,shell-367F0873.a28..1191313069.2007-10-02-08-17-49.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 08:51:32,shell-367F0874.a28..1191315092.2007-10-02-08-51-32.wav_chan0.xml,0,0,0,0,0,0,0,
02-Oct-07 09:25:16,shell-367F0875.a28..1191317116.2007-10-02-09-25-16.wav_chan0.xml,0,0,0,0,0,0,
02-Oct-07 09:59:00,shell-367F0876.a28..1191319140.2007-10-02-09-59-00.wav_chan0.xml,1,0,0,1,0,0,0,0,
02-Oct-07 10:32:45,shell-367F0877.a28..1191321165.2007-10-02-10-32-45.wav_chan0.xml,2,1,0,1,0,0,0,0,
02-Oct-07 11:06:29,shell-367F0878.a28..1191323189.2007-10-02-11-06-29.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 11:40:13,shell-367F0879.a28..1191325213.2007-10-02-11-40-13.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 12:13:55,shell-367F0880.a28..1191327235.2007-10-02-12-13-55.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 12:47:36,shell-367F0881.a28..1191329256.2007-10-02-12-47-36.wav_chan0.xml,2,0,0,1,1,0,0,0,
02-Oct-07 13:21:18,shell-367F0882.a28..1191331278.2007-10-02-13-21-18.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 13:54:59,shell-367F0883.a28..1191333299.2007-10-02-13-54-59.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 14:28:41,shell-367F0884.a28..1191335321.2007-10-02-14-28-41.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 15:02:23,shell-367F0885.a28..1191337343.2007-10-02-15-02-23.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 15:36:04,shell-367F0886.a28..1191339364.2007-10-02-15-36-04.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 16:09:46,shell-367F0887.a28..1191341386.2007-10-02-16-09-46.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 16:43:27,shell-367F0888.a28..1191343407.2007-10-02-16-43-27.wav_chan0.xml,6,2,0,4,0,0,0,0,
02-Oct-07 17:17:10,shell-367F0889.a28..1191345430.2007-10-02-17-17-10.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 17:50:52,shell-367F0890.a28..1191347452.2007-10-02-17-50-52.wav_chan0.xml,1,0,0,1,0,0,0,0,
02-Oct-07 18:24:36,shell-367F0891.a28..1191349476.2007-10-02-18-24-36.wav_chan0.xml,3,0,1,2,0,0,0,0,
02-Oct-07 18:58:20,shell-367F0892.a28..1191351500.2007-10-02-18-58-20.wav_chan0.xml,1,0,0,1,0,0,0,0,
02-Oct-07 19:32:04,shell-367F0893.a28..1191353524.2007-10-02-19-32-04.wav_chan0.xml,1,0,0,1,0,0,0,0,
02-Oct-07 20:05:49,shell-367F0894.a28..1191355549.2007-10-02-20-05-49.wav_chan0.xml,0,0,0,0,0,0,0,
02-Oct-07 20:39:33,shell-367F0895.a28..1191357573.2007-10-02-20-39-33.wav_chan0.xml,5,0,0,1,4,0,0,0,
02-Oct-07 21:13:17,shell-367F0896.a28..1191359597.2007-10-02-21-13-17.wav_chan0.xml,3,0,0,0,3,0,0,0,
02-Oct-07 21:46:59,shell-367F0897.a28..1191361619.2007-10-02-21-46-59.wav_chan0.xml,3,0,0,1,2,0,0,0,
02-Oct-07 22:20:40,shell-367F0898.a28..1191363640.2007-10-02-22-20-40.wav_chan0.xml,2,0,0,1,1,0,0,0,
02-Oct-07 22:54:22,shell-367F0899.a28..1191365662.2007-10-02-22-54-22.wav_chan0.xml,1,0,0,1,0,0,0,0,
02-Oct-07 23:28:03,shell-367F0900.a28..1191367683.2007-10-02-23-28-03.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 00:01:45,shell-367F0901.a28..1191369705.2007-10-03-00-01-45.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 00:35:27,shell-367F0902.a28..1191371727.2007-10-03-00-35-27.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 01:09:08,shell-367F0903.a28..1191373748.2007-10-03-01-09-08.wav_chan0.xml,1,0,0,0,1,0,0,0,
03-Oct-07 01:42:50,shell-367F0904.a28..1191375770.2007-10-03-01-42-50.wav_chan0.xml,4,0,0,4,0,0,0,0,
03-Oct-07 02:16:33,shell-367F0905.a28..1191377793.2007-10-03-02-16-33.wav_chan0.xml,3,0,0,3,0,0,0,0,
03-Oct-07 02:50:16,shell-367F0906.a28..1191379816.2007-10-03-02-50-16.wav_chan0.xml,1,0,0,1,0,0,0,0,
03-Oct-07 03:24:00,shell-367F0907.a28..1191381840.2007-10-03-03-24-00.wav_chan0.xml,10,3,0,4,3,0,0,0,
03-Oct-07 03:57:44,shell-367F0908.a28..1191383864.2007-10-03-03-57-44.wav_chan0.xml,15,0,0,13,2,0,0,0,
03-Oct-07 04:31:28,shell-367F0909.a28..1191385888.2007-10-03-04-31-28.wav_chan0.xml,6,0,0,6,0,0,0,0,
03-Oct-07 05:05:13,shell-367F0910.a28..1191387913.2007-10-03-05-05-13.wav_chan0.xml,9,0,0,9,0,0,0,0,
03-Oct-07 05:38:57,shell-367F0911.a28..1191389937.2007-10-03-05-38-57.wav_chan0.xml,7,0,1,5,1,0,0,0,
03-Oct-07 06:12:39,shell-367F0912.a28..1191391959.2007-10-03-06-12-39.wav_chan0.xml,14,3,0,9,2,0,0,0,
03-Oct-07 06:46:20,shell-367F0913.a28..1191393980.2007-10-03-06-46-20.wav_chan0.xml,14,0,0,12,2,0,0,0,
