Time,file,confidence,Ntonals,maxFileSPL
29-Sep-07 14:49:16,shell-461E0647.a30..1191077356.2007-09-29-14-49-16.wav_chan0.xml,0,0,0.0
29-Sep-07 23:14:59,shell-461E0662.a30..1191107699.2007-09-29-23-14-59.wav_chan0.xml,0,0,0.0
07-Oct-07 20:37:03,shell-461E0999.a30..1191789423.2007-10-07-20-37-03.wav_chan0.xml,0,0,0.0
19-Sep-07 00:51:02,shell-461E0195.a30..1190163062.2007-09-19-00-51-02.wav_chan0.xml,0,0,0.0
26-Sep-07 06:28:01,shell-461E0504.a30..1190788081.2007-09-26-06-28-01.wav_chan0.xml,0,0,0.0
14-Oct-07 06:02:07,shell-461E1272.a30..1192341727.2007-10-14-06-02-07.wav_chan0.xml,0,0,0.0
22-Sep-07 23:48:16,shell-461E0364.a30..1190504896.2007-09-22-23-48-16.wav_chan0.xml,0,0,0.0
18-Oct-07 02:12:12,shell-461E1436.a30..1192673532.2007-10-18-02-12-12.wav_chan0.xml,0,0,0.0
09-Oct-07 00:42:57,shell-461E1049.a30..1191890577.2007-10-09-00-42-57.wav_chan0.xml,0,0,0.0
05-Oct-07 11:18:05,shell-461E0897.a30..1191583085.2007-10-05-11-18-05.wav_chan0.xml,0,0,0.0
21-Sep-07 08:28:26,shell-461E0294.a30..1190363306.2007-09-21-08-28-26.wav_chan0.xml,0,0,0.0
27-Sep-07 05:30:31,shell-461E0545.a30..1190871031.2007-09-27-05-30-31.wav_chan0.xml,0,0,0.0
12-Oct-07 09:04:34,shell-461E1192.a30..1192179874.2007-10-12-09-04-34.wav_chan0.xml,0,0,0.0
26-Sep-07 13:46:27,shell-461E0517.a30..1190814387.2007-09-26-13-46-27.wav_chan0.xml,0,0,0.0
19-Sep-07 16:34:58,shell-461E0223.a30..1190219698.2007-09-19-16-34-58.wav_chan0.xml,0,0,0.0
10-Oct-07 14:22:03,shell-461E1116.a30..1192026123.2007-10-10-14-22-03.wav_chan0.xml,0,0,0.0
14-Oct-07 01:32:29,shell-461E1264.a30..1192325549.2007-10-14-01-32-29.wav_chan0.xml,0,0,0.0
15-Oct-07 21:22:37,shell-461E1342.a30..1192483357.2007-10-15-21-22-37.wav_chan0.xml,0,0,0.0
20-Oct-07 18:50:28,shell-461E1551.a30..1192906228.2007-10-20-18-50-28.wav_chan0.xml,3,7,140.32374572753906,33.5,42.0,50.55785369873047,67.45132446289062,84.5,185.5,17.0,34.0,76.0,21.0,101.5,33.71958923339844,101.0
18-Oct-07 12:19:16,shell-461E1454.a30..1192709956.2007-10-18-12-19-16.wav_chan0.xml,0,0,0.0
30-Sep-07 16:06:27,shell-461E0692.a30..1191168387.2007-09-30-16-06-27.wav_chan0.xml,0,0,0.0
18-Oct-07 15:41:32,shell-461E1460.a30..1192722092.2007-10-18-15-41-32.wav_chan0.xml,0,0,0.0
29-Sep-07 08:04:39,shell-461E0635.a30..1191053079.2007-09-29-08-04-39.wav_chan0.xml,0,0,0.0
27-Sep-07 23:29:22,shell-461E0577.a30..1190935762.2007-09-27-23-29-22.wav_chan0.xml,0,0,0.0
