Time,file,SequenceRepRate,numberOfPulses,AvgSPL,AvgSEL
10-Sep-07 03:36:16,shell-461E2200.a30..1189395049.2007-09-10-03-30-49.wav_chan0.xml,10.110876083374023,20,275.19586791992185,279.35845950744937
10-Sep-07 03:52:28,shell-461E2200.a30..1189395049.2007-09-10-03-30-49.wav_chan0.xml,9.684625625610352,19,275.0415617290296,279.1008311789415
30-Aug-07 06:06:39,shell-461E1735.a30..1188453930.2007-08-30-06-05-30.wav_chan0.xml,10.600855827331543,23,275.3628115446671,278.21963001799884
30-Aug-07 06:10:54,shell-461E1735.a30..1188453930.2007-08-30-06-05-30.wav_chan0.xml,10.918843269348145,29,277.95373850855333,280.21399852510916
30-Aug-07 06:21:34,shell-461E1735.a30..1188453930.2007-08-30-06-05-30.wav_chan0.xml,10.26315975189209,31,276.67808483492945,279.03340888712125
30-Aug-07 06:26:52,shell-461E1735.a30..1188453930.2007-08-30-06-05-30.wav_chan0.xml,10.233903884887695,26,272.72095548189606,276.09930203663936
30-Aug-07 06:32:19,shell-461E1735.a30..1188453930.2007-08-30-06-05-30.wav_chan0.xml,10.227853775024414,23,272.4260081415591,276.04990353407817
02-Sep-07 22:16:53,shell-461E1891.a30..1188769632.2007-09-02-21-47-12.wav_chan0.xml,10.13611125946045,9,274.27403428819446,278.5341906570225
30-Aug-07 07:52:10,shell-461E1738.a30..1188460001.2007-08-30-07-46-41.wav_chan0.xml,10.750187873840332,28,274.5026419503348,276.4749814602565
02-Sep-07 23:28:25,shell-461E1894.a30..1188775700.2007-09-02-23-28-20.wav_chan0.xml,10.243796348571777,23,272.80597719938856,276.96312726870855
05-Sep-07 18:22:26,shell-461E2013.a30..1189016542.2007-09-05-18-22-22.wav_chan0.xml,10.62941837310791,30,274.9948374430339,278.5946246273443
05-Sep-07 18:27:45,shell-461E2013.a30..1189016542.2007-09-05-18-22-22.wav_chan0.xml,10.633040428161621,30,274.3774892171224,278.12182768027395
05-Sep-07 18:33:04,shell-461E2013.a30..1189016542.2007-09-05-18-22-22.wav_chan0.xml,10.573248863220215,29,273.32751675309805,277.10755438579076
05-Sep-07 18:38:31,shell-461E2013.a30..1189016542.2007-09-05-18-22-22.wav_chan0.xml,10.503482818603516,27,273.43433860496236,276.9899719562014
05-Sep-07 18:49:09,shell-461E2013.a30..1189016542.2007-09-05-18-22-22.wav_chan0.xml,10.363152503967285,27,273.8354582609954,277.54227665367506
06-Sep-07 05:19:25,shell-461E2032.a30..1189054999.2007-09-06-05-03-19.wav_chan0.xml,9.672151565551758,23,273.2871730638587,277.47161881819466
09-Sep-07 17:50:18,shell-461E2182.a30..1189358615.2007-09-09-17-23-35.wav_chan0.xml,9.503759384155273,28,279.0104555402483,283.3218927493831
06-Sep-07 08:08:01,shell-461E2037.a30..1189065112.2007-09-06-07-51-52.wav_chan0.xml,11.609003067016602,25,273.2281115722656,277.3905290019971
06-Sep-07 08:13:15,shell-461E2037.a30..1189065112.2007-09-06-07-51-52.wav_chan0.xml,11.578754425048828,28,275.29166630336215,279.4809460293116
06-Sep-07 08:20:00,shell-461E2037.a30..1189065112.2007-09-06-07-51-52.wav_chan0.xml,10.407248497009277,23,276.1073276685632,280.33701660656845
10-Sep-07 07:27:12,shell-461E2207.a30..1189409231.2007-09-10-07-27-11.wav_chan0.xml,12.38846206665039,21,275.7390863327753,279.8419601978145
10-Sep-07 07:37:52,shell-461E2207.a30..1189409231.2007-09-10-07-27-11.wav_chan0.xml,12.183457374572754,25,275.51373779296875,279.64432034315644
10-Sep-07 07:43:23,shell-461E2207.a30..1189409231.2007-09-10-07-27-11.wav_chan0.xml,12.263782501220703,21,274.8873538062686,278.7841292097602
10-Sep-07 07:48:42,shell-461E2207.a30..1189409231.2007-09-10-07-27-11.wav_chan0.xml,12.38149356842041,23,276.31475432022756,280.3057215589072
10-Sep-07 07:54:03,shell-461E2207.a30..1189409231.2007-09-10-07-27-11.wav_chan0.xml,12.286188125610352,20,275.4645706176758,279.3942027833918
03-Sep-07 21:26:31,shell-461E1933.a30..1188854630.2007-09-03-21-23-50.wav_chan0.xml,11.17426872253418,9,275.5427415635851,278.75045460418676
03-Sep-07 21:31:07,shell-461E1933.a30..1188854630.2007-09-03-21-23-50.wav_chan0.xml,10.3585786819458,20,274.74012756347656,278.3616516155254
03-Sep-07 21:34:35,shell-461E1933.a30..1188854630.2007-09-03-21-23-50.wav_chan0.xml,10.247823715209961,24,274.6700019836426,278.21307036598125
03-Sep-07 05:05:54,shell-461E1904.a30..1188795943.2007-09-03-05-05-43.wav_chan0.xml,11.462717056274414,27,274.3773001211661,278.95547706225926
03-Sep-07 05:11:15,shell-461E1904.a30..1188795943.2007-09-03-05-05-43.wav_chan0.xml,11.501007080078125,27,276.8600486472801,281.2391223919635
03-Sep-07 05:16:26,shell-461E1904.a30..1188795943.2007-09-03-05-05-43.wav_chan0.xml,11.399842262268066,25,276.600869140625,280.7805506648907
03-Sep-07 05:22:29,shell-461E1904.a30..1188795943.2007-09-03-05-05-43.wav_chan0.xml,11.086015701293945,20,276.0100357055664,280.31057181412126
03-Sep-07 05:32:26,shell-461E1904.a30..1188795943.2007-09-03-05-05-43.wav_chan0.xml,10.85883903503418,24,274.49403127034503,278.54431120187223
05-Sep-07 03:06:15,shell-461E1985.a30..1188959874.2007-09-05-02-37-54.wav_chan0.xml,11.001348495483398,9,274.4068128797743,277.94624422717914
03-Sep-07 08:00:30,shell-461E1909.a30..1188806056.2007-09-03-07-54-16.wav_chan0.xml,10.96419620513916,20,270.99539337158205,275.91026309266425
03-Sep-07 08:15:48,shell-461E1909.a30..1188806056.2007-09-03-07-54-16.wav_chan0.xml,10.64802074432373,27,270.5579901801215,276.0191076686349
30-Aug-07 04:35:43,shell-461E1732.a30..1188447863.2007-08-30-04-24-23.wav_chan0.xml,10.02442741394043,9,274.8368191189236,278.33767015285554
10-Sep-07 23:33:08,shell-461E2235.a30..1189465904.2007-09-10-23-11-44.wav_chan0.xml,9.589816093444824,32,273.66336154937744,278.46457272056193
10-Sep-07 23:38:24,shell-461E2235.a30..1189465904.2007-09-10-23-11-44.wav_chan0.xml,9.505515098571777,34,274.00985987046187,278.93747061747507
07-Sep-07 17:02:48,shell-461E2096.a30..1189184546.2007-09-07-17-02-26.wav_chan0.xml,11.009299278259277,25,272.462666015625,276.3641045050153
07-Sep-07 17:07:56,shell-461E2096.a30..1189184546.2007-09-07-17-02-26.wav_chan0.xml,10.877490043640137,24,273.11981709798175,277.3594645532955
07-Sep-07 17:13:10,shell-461E2096.a30..1189184546.2007-09-07-17-02-26.wav_chan0.xml,10.628525733947754,27,272.7603612829138,276.9293138489906
07-Sep-07 17:18:30,shell-461E2096.a30..1189184546.2007-09-07-17-02-26.wav_chan0.xml,10.626113891601562,24,272.68377685546875,276.7793556986184
09-Sep-07 19:10:16,shell-461E2185.a30..1189364686.2007-09-09-19-04-46.wav_chan0.xml,11.29273796081543,20,276.759814453125,280.94692047892846
09-Sep-07 19:15:33,shell-461E2185.a30..1189364686.2007-09-09-19-04-46.wav_chan0.xml,11.215951919555664,19,277.89746254368833,282.08432619626524
09-Sep-07 19:31:40,shell-461E2185.a30..1189364686.2007-09-09-19-04-46.wav_chan0.xml,11.295544624328613,21,280.1475742885045,284.728161626627
05-Sep-07 16:07:25,shell-461E2009.a30..1189008440.2007-09-05-16-07-20.wav_chan0.xml,9.529289245605469,23,273.26318359375,277.04558207931046
05-Sep-07 16:12:50,shell-461E2009.a30..1189008440.2007-09-05-16-07-20.wav_chan0.xml,9.660385131835938,22,273.04850352894175,276.954718526443
07-Sep-07 08:02:45,shell-461E2080.a30..1189152160.2007-09-07-08-02-40.wav_chan0.xml,9.787351608276367,22,270.0386047363281,274.4141035567887
10-Sep-07 05:12:11,shell-461E2203.a30..1189401125.2007-09-10-05-12-05.wav_chan0.xml,9.770646095275879,26,275.5965130145733,279.66300522960984
03-Sep-07 05:39:29,shell-461E1905.a30..1188797966.2007-09-03-05-39-26.wav_chan0.xml,10.77879524230957,17,274.4576380112592,278.33785558669365
03-Sep-07 05:44:52,shell-461E1905.a30..1188797966.2007-09-03-05-39-26.wav_chan0.xml,10.679943084716797,30,273.60968017578125,278.05709893472806
03-Sep-07 06:03:27,shell-461E1905.a30..1188797966.2007-09-03-05-39-26.wav_chan0.xml,10.782061576843262,8,278.1696434020996,282.53003272941265
10-Sep-07 02:45:01,shell-461E2198.a30..1189391003.2007-09-10-02-23-23.wav_chan0.xml,9.674397468566895,22,275.41686595569956,279.7342433473564
30-Aug-07 06:39:19,shell-461E1736.a30..1188455953.2007-08-30-06-39-13.wav_chan0.xml,10.240368843078613,27,273.83523333514177,277.28942207579263
30-Aug-07 06:44:37,shell-461E1736.a30..1188455953.2007-08-30-06-39-13.wav_chan0.xml,10.263461112976074,23,272.5525539232337,275.8959180462609
30-Aug-07 06:49:55,shell-461E1736.a30..1188455953.2007-08-30-06-39-13.wav_chan0.xml,10.34239673614502,24,272.1808433532715,275.71427032962816
03-Sep-07 06:46:53,shell-461E1907.a30..1188802011.2007-09-03-06-46-51.wav_chan0.xml,11.2726411819458,26,272.57981755183295,277.70573643770797
03-Sep-07 06:52:20,shell-461E1907.a30..1188802011.2007-09-03-06-46-51.wav_chan0.xml,11.270009994506836,24,274.1592674255371,278.17246568163984
03-Sep-07 06:58:26,shell-461E1907.a30..1188802011.2007-09-03-06-46-51.wav_chan0.xml,7.424561023712158,14,281.57545689174106,284.7663791648437
10-Sep-07 09:08:27,shell-461E2210.a30..1189415300.2007-09-10-09-08-20.wav_chan0.xml,11.351175308227539,25,275.4700561523438,279.4968931175804
10-Sep-07 09:19:11,shell-461E2210.a30..1189415300.2007-09-10-09-08-20.wav_chan0.xml,11.166855812072754,16,273.8478031158447,277.83364463886016
06-Sep-07 03:32:53,shell-461E2029.a30..1189048924.2007-09-06-03-22-04.wav_chan0.xml,19.35152244567871,11,274.1013294566761,278.14646289510864
09-Sep-07 19:59:55,shell-461E2186.a30..1189366711.2007-09-09-19-38-31.wav_chan0.xml,11.124434471130371,27,276.06556193033856,280.44599553429674
09-Sep-07 20:05:18,shell-461E2186.a30..1189366711.2007-09-09-19-38-31.wav_chan0.xml,11.13018798828125,19,276.9607720626028,281.31334890000517
10-Sep-07 04:38:24,shell-461E2202.a30..1189399099.2007-09-10-04-38-19.wav_chan0.xml,9.72191333770752,27,275.370278817636,279.33087209251573
10-Sep-07 04:43:45,shell-461E2202.a30..1189399099.2007-09-10-04-38-19.wav_chan0.xml,10.020174026489258,29,276.1772292564655,280.21424117732585
10-Sep-07 04:49:58,shell-461E2202.a30..1189399099.2007-09-10-04-38-19.wav_chan0.xml,9.954747200012207,21,276.62135823567706,280.3439443196859
10-Sep-07 04:55:07,shell-461E2202.a30..1189399099.2007-09-10-04-38-19.wav_chan0.xml,9.90225601196289,21,276.65062749953495,280.42935149246665
10-Sep-07 04:59:46,shell-461E2202.a30..1189399099.2007-09-10-04-38-19.wav_chan0.xml,10.010610580444336,22,276.8841941139915,280.7767647708966
05-Sep-07 16:00:22,shell-461E2008.a30..1189006415.2007-09-05-15-33-35.wav_chan0.xml,9.634146690368652,28,272.30518232073103,276.2078801971579
09-Sep-07 18:02:40,shell-461E2183.a30..1189360638.2007-09-09-17-57-18.wav_chan0.xml,9.5011568069458,17,278.83775598862593,283.35789539203074
09-Sep-07 18:05:07,shell-461E2183.a30..1189360638.2007-09-09-17-57-18.wav_chan0.xml,11.518997192382812,13,278.6332444411058,282.97503645380607
09-Sep-07 18:08:00,shell-461E2183.a30..1189360638.2007-09-09-17-57-18.wav_chan0.xml,11.456963539123535,21,278.586172921317,283.15653122487646
09-Sep-07 18:13:21,shell-461E2183.a30..1189360638.2007-09-09-17-57-18.wav_chan0.xml,11.174690246582031,28,276.8461183820452,281.22413983526343
