Time,file,confidence,Ntonals,maxFileSPL
07-Aug-07 01:33:48,shell-1A2B0788.a19..1186450428.2007-08-07-01-33-48.wav_chan0.xml,3,21,81.29727172851562,141.0,195.0,333.5,464.5,470.5,476.5,673.0,184.0,429.0,452.5,458.5,482.5,697.0,423.0,488.5,816.0,435.0,506.5,394.0,518.0,105.0,141.5,446.5,918.0,506.0,536.0,720.5,376.5,625.5,417.0,786.0,500.5,447.0,530.0,500.0,654.5,792.0,654.0,120.5,1164.5,843.0,741.0,607.0,120.0,641.0,606.5,713.0
11-Sep-07 11:54:26,shell-1A2B2295.a19..1189511666.2007-09-11-11-54-26.wav_chan0.xml,0,0,0.0
31-Aug-07 12:53:26,shell-1A2B1829.a19..1188564806.2007-08-31-12-53-26.wav_chan0.xml,3,9,107.54847717285156,45.0,60.5,77.0,90.5,116.0,129.0,167.5,395.5,26.0,45.5,395.64935302734375,90.0,128.5,669.5,38.5,669.0,334.5,25.5,154.5,395.0,334.0,115.57413482666016,269.5,394.5,45.11077880859375,667.5,30.0,394.34356689453125,394.0,667.0,115.44234466552734,256.5,141.0,394.14080810546875,666.5,393.8691101074219,115.33700561523438
18-Aug-07 04:24:13,shell-1A2B1261.a19..1187411053.2007-08-18-04-24-13.wav_chan0.xml,0,0,0.0
28-Jul-07 17:04:03,shell-1A2B0390.a19..1185642243.2007-07-28-17-04-03.wav_chan0.xml,0,0,0.0
24-Aug-07 17:48:36,shell-1A2B1540.a19..1187977716.2007-08-24-17-48-36.wav_chan0.xml,0,0,0.0
14-Aug-07 19:43:39,shell-1A2B1118.a19..1187120619.2007-08-14-19-43-39.wav_chan0.xml,0,0,0.0
23-Aug-07 15:17:23,shell-1A2B1493.a19..1187882243.2007-08-23-15-17-23.wav_chan0.xml,1,1,78.11649322509766,177.5,178.0
13-Aug-07 04:47:47,shell-1A2B1049.a19..1186980467.2007-08-13-04-47-47.wav_chan0.xml,0,0,0.0
08-Aug-07 21:33:50,shell-1A2B0866.a19..1186608830.2007-08-08-21-33-50.wav_chan0.xml,3,4,95.24894714355469,280.6236572265625,566.0,889.0,750.0,1111.5,694.5,565.5,283.0,444.5,639.0,500.0,139.0,389.0
25-Jul-07 02:12:29,shell-1A2B0236.a19..1185329549.2007-07-25-02-12-29.wav_chan0.xml,0,0,0.0
22-Aug-07 06:00:09,shell-1A2B1434.a19..1187762409.2007-08-22-06-00-09.wav_chan0.xml,0,0,0.0
21-Aug-07 19:50:48,shell-1A2B1416.a19..1187725848.2007-08-21-19-50-48.wav_chan0.xml,3,3,105.32921600341797,91.5,41.0,82.0,123.0,102.5,92.0,51.0,245.5
29-Aug-07 17:26:13,shell-1A2B1752.a19..1188408373.2007-08-29-17-26-13.wav_chan0.xml,0,0,0.0
21-Aug-07 07:26:13,shell-1A2B1394.a19..1187681173.2007-08-21-07-26-13.wav_chan0.xml,0,0,0.0
02-Sep-07 17:22:25,shell-1A2B1922.a19..1188753745.2007-09-02-17-22-25.wav_chan0.xml,0,0,0.0
26-Aug-07 01:24:34,shell-1A2B1596.a19..1188091474.2007-08-26-01-24-34.wav_chan0.xml,0,0,0.0
29-Jul-07 16:11:41,shell-1A2B0431.a19..1185725501.2007-07-29-16-11-41.wav_chan0.xml,0,0,0.0
31-Aug-07 15:42:42,shell-1A2B1834.a19..1188574962.2007-08-31-15-42-42.wav_chan0.xml,1,1,78.95941925048828,370.5,370.0
16-Aug-07 23:37:47,shell-1A2B1210.a19..1187307467.2007-08-16-23-37-47.wav_chan0.xml,0,0,0.0
09-Sep-07 23:46:41,shell-1A2B2231.a19..1189381601.2007-09-09-23-46-41.wav_chan0.xml,0,0,0.0
20-Jul-07 12:14:07,shell-1A2B0041.a19..1184933647.2007-07-20-12-14-07.wav_chan0.xml,0,0,0.0
22-Aug-07 21:48:00,shell-1A2B1462.a19..1187819280.2007-08-22-21-48-00.wav_chan0.xml,0,0,0.0
10-Aug-07 23:46:03,shell-1A2B0955.a19..1186789563.2007-08-10-23-46-03.wav_chan0.xml,0,0,0.0
01-Sep-07 23:52:46,shell-1A2B1891.a19..1188690766.2007-09-01-23-52-46.wav_chan0.xml,0,0,0.0
02-Sep-07 16:14:45,shell-1A2B1920.a19..1188749685.2007-09-02-16-14-45.wav_chan0.xml,0,0,0.0
02-Aug-07 11:00:24,shell-1A2B0592.a19..1186052424.2007-08-02-11-00-24.wav_chan0.xml,0,0,0.0
06-Aug-07 22:44:39,shell-1A2B0783.a19..1186440279.2007-08-06-22-44-39.wav_chan0.xml,3,3,79.88883209228516,161.0,160.5,190.0,260.5,520.5
03-Aug-07 04:29:33,shell-1A2B0623.a19..1186115373.2007-08-03-04-29-33.wav_chan0.xml,0,0,0.0
01-Sep-07 21:03:31,shell-1A2B1886.a19..1188680611.2007-09-01-21-03-31.wav_chan0.xml,0,0,0.0
04-Aug-07 22:47:39,shell-1A2B0698.a19..1186267659.2007-08-04-22-47-39.wav_chan0.xml,0,0,0.0
14-Aug-07 11:15:55,shell-1A2B1103.a19..1187090155.2007-08-14-11-15-55.wav_chan0.xml,0,0,0.0
27-Jul-07 15:41:08,shell-1A2B0345.a19..1185550868.2007-07-27-15-41-08.wav_chan0.xml,0,0,0.0
06-Sep-07 07:09:32,shell-1A2B2074.a19..1189062572.2007-09-06-07-09-32.wav_chan0.xml,0,0,0.0
21-Aug-07 19:16:58,shell-1A2B1415.a19..1187723818.2007-08-21-19-16-58.wav_chan0.xml,1,1,73.87342834472656,181.0
24-Aug-07 05:23:44,shell-1A2B1518.a19..1187933024.2007-08-24-05-23-44.wav_chan0.xml,0,0,0.0
19-Jul-07 21:34:28,shell-1A2B0015.a19..1184880868.2007-07-19-21-34-28.wav_chan0.xml,0,0,0.0
05-Aug-07 06:07:39,shell-1A2B0711.a19..1186294059.2007-08-05-06-07-39.wav_chan0.xml,0,0,0.0
07-Sep-07 08:33:29,shell-1A2B2119.a19..1189154009.2007-09-07-08-33-29.wav_chan0.xml,0,0,0.0
14-Aug-07 12:23:36,shell-1A2B1105.a19..1187094216.2007-08-14-12-23-36.wav_chan0.xml,0,0,0.0
31-Jul-07 13:19:05,shell-1A2B0511.a19..1185887945.2007-07-31-13-19-05.wav_chan0.xml,0,0,0.0
22-Aug-07 08:15:39,shell-1A2B1438.a19..1187770539.2007-08-22-08-15-39.wav_chan0.xml,0,0,0.0
30-Aug-07 12:37:28,shell-1A2B1786.a19..1188477448.2007-08-30-12-37-28.wav_chan0.xml,0,0,0.0
24-Aug-07 08:46:47,shell-1A2B1524.a19..1187945207.2007-08-24-08-46-47.wav_chan0.xml,0,0,0.0
16-Aug-07 07:50:02,shell-1A2B1182.a19..1187250602.2007-08-16-07-50-02.wav_chan0.xml,0,0,0.0
19-Aug-07 21:01:22,shell-1A2B1333.a19..1187557282.2007-08-19-21-01-22.wav_chan0.xml,0,0,0.0
04-Sep-07 13:23:35,shell-1A2B2000.a19..1188912215.2007-09-04-13-23-35.wav_chan0.xml,0,0,0.0
05-Aug-07 11:46:11,shell-1A2B0721.a19..1186314371.2007-08-05-11-46-11.wav_chan0.xml,0,0,0.0
27-Jul-07 03:16:42,shell-1A2B0323.a19..1185506202.2007-07-27-03-16-42.wav_chan0.xml,0,0,0.0
08-Sep-07 22:56:31,shell-1A2B2187.a19..1189292191.2007-09-08-22-56-31.wav_chan0.xml,0,0,0.0
19-Jul-07 18:45:17,shell-1A2B0010.a19..1184870717.2007-07-19-18-45-17.wav_chan0.xml,0,0,0.0
10-Sep-07 14:27:27,shell-1A2B2257.a19..1189434447.2007-09-10-14-27-27.wav_chan0.xml,0,0,0.0
29-Jul-07 15:03:57,shell-1A2B0429.a19..1185721437.2007-07-29-15-03-57.wav_chan0.xml,0,0,0.0
03-Sep-07 15:22:50,shell-1A2B1961.a19..1188832970.2007-09-03-15-22-50.wav_chan0.xml,0,0,0.0
05-Sep-07 09:08:45,shell-1A2B2035.a19..1188983325.2007-09-05-09-08-45.wav_chan0.xml,0,0,0.0
13-Aug-07 08:44:53,shell-1A2B1056.a19..1186994693.2007-08-13-08-44-53.wav_chan0.xml,0,0,0.0
02-Aug-07 05:21:57,shell-1A2B0582.a19..1186032117.2007-08-02-05-21-57.wav_chan0.xml,0,0,0.0
26-Aug-07 11:00:08,shell-1A2B1613.a19..1188126008.2007-08-26-11-00-08.wav_chan0.xml,0,0,0.0
08-Aug-07 19:18:25,shell-1A2B0862.a19..1186600705.2007-08-08-19-18-25.wav_chan0.xml,3,4,79.4197006225586,629.5,876.0,1423.5,438.0,711.5,739.0,875.5,903.0,848.0,738.5,1778.0,1586.5,1313.0
21-Jul-07 05:43:01,shell-1A2B0072.a19..1184996581.2007-07-21-05-43-01.wav_chan0.xml,0,0,0.0
11-Sep-07 23:45:49,shell-1A2B2316.a19..1189554349.2007-09-11-23-45-49.wav_chan0.xml,0,0,0.0
12-Aug-07 10:10:42,shell-1A2B1016.a19..1186913442.2007-08-12-10-10-42.wav_chan0.xml,0,0,0.0
26-Jul-07 07:32:17,shell-1A2B0288.a19..1185435137.2007-07-26-07-32-17.wav_chan0.xml,0,0,0.0
01-Sep-07 19:21:51,shell-1A2B1883.a19..1188674511.2007-09-01-19-21-51.wav_chan0.xml,0,0,0.0
31-Aug-07 06:07:04,shell-1A2B1817.a19..1188540424.2007-08-31-06-07-04.wav_chan0.xml,1,1,79.03104400634766,47.5,47.673248291015625
08-Aug-07 19:52:17,shell-1A2B0863.a19..1186602737.2007-08-08-19-52-17.wav_chan0.xml,3,5,83.78382110595703,875.0,1313.0,1422.5,601.5,629.0,1285.5,1422.0,738.5,1204.0,1286.0,1395.5,739.0,1313.5,1286.5,137.0,1259.0,1314.0,875.5,1642.0
05-Sep-07 07:27:13,shell-1A2B2032.a19..1188977233.2007-09-05-07-27-13.wav_chan0.xml,0,0,0.0
19-Aug-07 06:21:16,shell-1A2B1307.a19..1187504476.2007-08-19-06-21-16.wav_chan0.xml,0,0,0.0
04-Aug-07 12:04:40,shell-1A2B0679.a19..1186229080.2007-08-04-12-04-40.wav_chan0.xml,0,0,0.0
23-Jul-07 19:45:04,shell-1A2B0182.a19..1185219904.2007-07-23-19-45-04.wav_chan0.xml,0,0,0.0
05-Aug-07 16:16:49,shell-1A2B0729.a19..1186330609.2007-08-05-16-16-49.wav_chan0.xml,0,0,0.0
02-Aug-07 16:04:50,shell-1A2B0601.a19..1186070690.2007-08-02-16-04-50.wav_chan0.xml,0,0,0.0
05-Sep-07 23:49:23,shell-1A2B2061.a19..1189036163.2007-09-05-23-49-23.wav_chan0.xml,0,0,0.0
05-Aug-07 15:09:09,shell-1A2B0727.a19..1186326549.2007-08-05-15-09-09.wav_chan0.xml,0,0,0.0
30-Jul-07 01:13:10,shell-1A2B0447.a19..1185757990.2007-07-30-01-13-10.wav_chan0.xml,0,0,0.0
03-Aug-07 06:44:51,shell-1A2B0627.a19..1186123491.2007-08-03-06-44-51.wav_chan0.xml,0,0,0.0
25-Jul-07 23:38:28,shell-1A2B0274.a19..1185406708.2007-07-25-23-38-28.wav_chan0.xml,0,0,0.0
06-Aug-07 05:15:24,shell-1A2B0752.a19..1186377324.2007-08-06-05-15-24.wav_chan0.xml,0,0,0.0
30-Jul-07 13:37:38,shell-1A2B0469.a19..1185802658.2007-07-30-13-37-38.wav_chan0.xml,0,0,0.0
27-Aug-07 19:09:55,shell-1A2B1670.a19..1188241795.2007-08-27-19-09-55.wav_chan0.xml,0,0,0.0
12-Sep-07 09:21:40,shell-1A2B2333.a19..1189588900.2007-09-12-09-21-40.wav_chan0.xml,3,10,120.9502182006836,51.5,61.41486358642578,71.5,87.0,132.1961669921875,279.0,586.5,191.0,51.22728729248047,168.5,132.5,51.0,61.0,117.5,199.0,183.5,587.0,293.5,229.5,35.5,102.61482238769531,132.0,205.5,293.0
25-Jul-07 01:38:37,shell-1A2B0235.a19..1185327517.2007-07-25-01-38-37.wav_chan0.xml,0,0,0.0
28-Aug-07 09:16:29,shell-1A2B1695.a19..1188292589.2007-08-28-09-16-29.wav_chan0.xml,0,0,0.0
21-Aug-07 06:18:34,shell-1A2B1392.a19..1187677114.2007-08-21-06-18-34.wav_chan0.xml,0,0,0.0
18-Aug-07 21:53:33,shell-1A2B1292.a19..1187474013.2007-08-18-21-53-33.wav_chan0.xml,0,0,0.0
03-Aug-07 12:57:09,shell-1A2B0638.a19..1186145829.2007-08-03-12-57-09.wav_chan0.xml,0,0,0.0
