Time,file,confidence,Ntonals,maxFileSPL
02-Aug-07 19:44:28,shell-9B610587.A27-B20..1185800008.2007-07-30-12-53-28.wav_chan0.xml,1,1,86.82080078125,37.5,38.0,37.0
26-Aug-07 09:03:13,shell-9B611593.A27-B20..1187835133.2007-08-23-02-12-13.wav_chan0.xml,0,0,0.0
22-Aug-07 03:53:13,shell-9B611413.A27-B20..1187470933.2007-08-18-21-02-13.wav_chan0.xml,2,3,71.13740539550781,104.5,570.5,74.5
04-Aug-07 23:25:47,shell-9B610679.A27-B20..1185986087.2007-08-01-16-34-47.wav_chan0.xml,0,0,0.0
30-Aug-07 02:59:03,shell-9B611753.A27-B20..1188158883.2007-08-26-20-08-03.wav_chan0.xml,2,2,73.53878784179688,60.0,59.5,89.5,570.5
07-Aug-07 07:37:09,shell-9B610779.A27-B20..1186188369.2007-08-04-00-46-09.wav_chan0.xml,0,0,0.0
27-Aug-07 15:24:17,shell-9B611647.A27-B20..1187944397.2007-08-24-08-33-17.wav_chan0.xml,0,0,0.0
13-Aug-07 06:20:40,shell-9B611033.A27-B20..1186702180.2007-08-09-23-29-40.wav_chan0.xml,0,0,0.0
23-Jul-07 14:47:22,shell-9B610151.A27-B20..1184918182.2007-07-20-07-56-22.wav_chan0.xml,0,0,0.0
05-Sep-07 05:41:59,shell-9B612014.A27-B20..1188687059.2007-09-01-22-50-59.wav_chan0.xml,0,0,0.0
03-Sep-07 23:54:17,shell-9B611961.A27-B20..1188579797.2007-08-31-17-03-17.wav_chan0.xml,0,0,0.0
29-Aug-07 19:40:43,shell-9B611740.A27-B20..1188132583.2007-08-26-12-49-43.wav_chan0.xml,0,0,0.0
01-Sep-07 07:49:15,shell-9B611847.A27-B20..1188349095.2007-08-29-00-58-15.wav_chan0.xml,0,0,0.0
27-Jul-07 22:09:30,shell-9B610335.A27-B20..1185290310.2007-07-24-15-18-30.wav_chan0.xml,0,0,0.0
19-Aug-07 15:45:28,shell-9B611306.A27-B20..1187254468.2007-08-16-08-54-28.wav_chan0.xml,2,2,85.18695831298828,60.0,60.5,45.0,90.5
28-Aug-07 18:23:02,shell-9B611695.A27-B20..1188041522.2007-08-25-11-32-02.wav_chan0.xml,0,0,0.0
03-Sep-07 01:58:48,shell-9B611922.A27-B20..1188500868.2007-08-30-19-07-48.wav_chan0.xml,0,0,0.0
26-Aug-07 12:25:35,shell-9B611599.A27-B20..1187847275.2007-08-23-05-34-35.wav_chan0.xml,0,0,0.0
17-Aug-07 04:11:22,shell-9B611200.A27-B20..1187040022.2007-08-13-21-20-22.wav_chan0.xml,3,4,82.08145141601562,60.19337844848633,90.5,570.5,135.5,60.31162643432617,60.5,60.0,75.0,181.5,151.0,75.5,105.5
28-Jul-07 12:45:56,shell-9B610361.A27-B20..1185342896.2007-07-25-05-54-56.wav_chan0.xml,0,0,0.0
29-Jul-07 16:17:40,shell-9B610410.A27-B20..1185442000.2007-07-26-09-26-40.wav_chan0.xml,0,0,0.0
04-Aug-07 17:48:47,shell-9B610669.A27-B20..1185965867.2007-08-01-10-57-47.wav_chan0.xml,2,2,79.19261169433594,59.5,100.0,60.0
26-Aug-07 21:58:51,shell-9B611616.A27-B20..1187881671.2007-08-23-15-07-51.wav_chan0.xml,0,0,0.0
21-Aug-07 21:08:40,shell-9B611401.A27-B20..1187446660.2007-08-18-14-17-40.wav_chan0.xml,3,5,90.219970703125,45.0,60.5,75.5,90.5,30.0,45.19204330444336,75.34644317626953,45.5,134.0,120.5,80.5,121.0,161.0,134.5,161.5
30-Aug-07 12:32:25,shell-9B611770.A27-B20..1188193285.2007-08-27-05-41-25.wav_chan0.xml,0,0,0.0
03-Sep-07 04:47:25,shell-9B611927.A27-B20..1188510985.2007-08-30-21-56-25.wav_chan0.xml,0,0,0.0
